b_number,gene_name
b1335,ogt
b0708,phr
b2580,ung
b2961,mutY
b1633,nth
b0099,mutT
b3640,dut
b1335,ogt
b2213,ada
b0708,phr
b2212,alkB
b2580,ung
b3068,mug
b2068,alkA
b2961,mutY
b3549,tag
b3635,mutM
b0714,nei
b1633,nth
b1749,xthA
b2159,nfo
b3998,nfi
b2892,recJ
b2411,ligA
b3647,ligB
b3863,polA
b4058,uvrA
b0779,uvrB
b1913,uvrC
b1741,cho
b3813,uvrD
b3863,polA
b2411,ligA
b3647,ligB
b3987,rpoB
b3988,rpoC
b3295,rpoA
b3649,rpoZ
b1114,mfd
b2733,mutS
b4170,mutL
b2831,mutH
b2011,sbcB
b2509,xseA
b0422,xseB
b1844,exoX
b0184,dnaE
b3701,dnaN
b4259,holC
b0640,holA
b1099,holB
b0215,dnaQ
b0470,dnaX
b4372,holD
b1842,holE
b2411,ligA
b3647,ligB
Other,MMR
b3813,uvrD
b4059,ssb
b3387,dam
b1960,vsr
b2820,recB
b2822,recC
b2819,recD
b2699,recA
b1861,ruvA
b1860,ruvB
b1863,ruvC
b0550,rusA
b3935,priA
b4201,priB
b0467,priC
b4362,dnaT
b2011,sbcB
b0397,sbcC
b0398,sbcD
b2699,recA
b4389,radA
b3700,recF
b3652,recG
b2892,recJ
b2565,recO
b0472,recR
b2616,recN
b0393,rdgC
b1861,ruvA
b1860,ruvB
b1863,ruvC
b2755,cas1
b2184,radD
b2231,gyrA
b3699,gyrB
b1274,topA
b4000,hupA
b0440,hupB
b1350,recE
b1349,recT
b2892,recJ
b2565,recO
b0472,recR
b2411,ligA
b3647,ligB
b3261,fis
b1712,ihfA
b0912,ihfB
b2011,sbcB
b3822,recQ
b4058,uvrA
b0779,uvrB
b1237,hns
b0231,dinB
b1184,umuC
b1183,umuD
b2699,recA
b4043,lexA
b2616,recN
b0060,polB
b4059,ssb
b3645,dinD
b1061,dinI
b2698,recX
b3411,rpnA
b2305,rpnB
b0132,rpnC
b2244,rpnE
b3778,rep
b0962,helD
b0799,dinG
b1808,yoaA
b1653,lhr
b0099,mutT
b3640,dut
b2675,nrdE
b2234,nrdA
b2676,nrdF
b2235,nrdB
