b_number,gene_name
b3189,murA
b3972,murB
b0091,murC
b0088,murD
b0085,murE
b0381,ddlA
b0092,ddlB
b1190,dadX
b4053,alr
b3967,murI
b1192,ldcA
b0087,mraY
b0090,murG
b3057,bacA
b0841,ybjG
b1069,murJ
b3396,mrcA
b0149,mrcB
b2519,pbpC
b0635,mrdA
b0084,ftsI
b0839,dacC
b2010,dacD
b0632,dacA
b3182,dacB
b0376,ampH
b2430,yfeW
b2134,pbpG
b3208,mtgA
b1990,ldtA
b1678,ldtE
b0819,ldtB
b1113,ldtC
b0925,ldtD
b1488,ddpX
b2328,mepA
b1655,mepH
b2175,mepS
b1856,mepM
b4392,slt
b2813,mltA
b2701,mltB
b2963,mltC
b0211,mltD
b1193,emtA
b2558,mltF
b2435,amiA
b4169,amiB
b2817,amiC
b0867,amiD
b0110,ampD
b1677,lpp
