b_number,gene_name
b1282,yciH
b3168,infB
b1718,infC
b3352,yheS
b0170,tsf
b3980,tufB
b3339,tufA
b3340,fusA
b3590,selB
b1211,prfA
b0172,frr
b1212,prmC
b1204,pth
b0884,infA
b3168,infB
b1718,infC
b0170,tsf
b3980,tufB
b3339,tufA
b3340,fusA
b4147,efp
b2171,yeiP
b3590,selB
b4155,epmA
b4146,epmB
b2326,epmC
b1211,prfA
b2891,prfB
b4375,prfC
b0172,frr
b4550,arfA
b0191,arfB
b1212,prmC
b1204,pth
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
