b_number,gene_name
b3035,tolC
b3323,gspA
b3322,gspB
b3324,gspC
b3325,gspD
b3326,gspE
b3327,gspF
b3328,gspG
b3329,gspH
b3330,gspI
b3331,gspJ
b3332,gspK
b3333,gspL
b2968,yghD
b3334,gspM
b3335,gspO
b2972,pppA
b2972,pppA
b2950,yggR
b2826,ppdA
b2825,ppdB
b2823,ppdC
b0108,ppdD
b0107,hofB
b0106,hofC
b3395,hofM
b3394,hofN
b3393,hofO
b3392,hofP
b3391,hofQ
b2972,pppA
b2950,yggR
b2952,yggT
b0442,ybaV
b0913,ycaI
b1879,flhA
b1880,flhB
b1938,fliF
b1940,fliH
b1941,fliI
b1946,fliN
b1947,fliO
b1948,fliP
b1949,fliQ
b1950,fliR
b2893,dsbC
b2233,yfaL
b2000,flu
b4314,fimA
b4316,fimC
b4317,fimD
b0940,elfC
b3144,yraJ
b0139,htrE
b2109,yehB
b4318,fimF
b4319,fimG
b4320,fimH
b2336,yfcS
b0293,ecpA
b0292,ecpB
b0291,ecpC
b0290,ecpD
b0289,ecpE
b1042,csgA
b1041,csgB
b1043,csgC
b1039,csgE
b1038,csgF
b1037,csgG
b0098,secA
b3609,secB
b0408,secD
b3981,secE
b0409,secF
b3175,secG
b0097,secM
b3300,secY
b2610,ffh
b3464,ftsY
b0407,yajC
b3705,yidC
b2610,ffh
b3836,tatA
b3838,tatB
b3839,tatC
b0627,tatE
