b_number,gene_name
b3056,cca
b3421,rtcB
b2400,gltX
b0194,proS
b0026,ileS
b0642,leuS
b2114,metG
b0680,glnS
b1876,argS
b2890,lysS
b4129,lysU
b1866,aspS
b2697,alaS
b0930,asnS
b1719,thrS
b0893,serS
b0526,cysS
b4258,valS
b2514,hisS
b1714,pheS
b1713,pheT
b1637,tyrS
b3384,trpS
b3887,dtd
b2960,trmI
b0195,trmO
b2318,truA
b3166,truB
b2745,truD
b2530,iscS
b3064,tsaD
b3282,tsaC
b4171,miaA
b3706,mnmE
b3741,mnmG
b0406,tgt
b1764,selD
b4214,cysQ
b3704,rnpA
b3123,rnpB
b2268,rbn
b1652,rnt
b0611,rna
b1286,rnb
b1804,rnd
b3056,cca
b3421,rtcB
b0147,thpR
b4331,kptA
b4391,ettA
b0642,leuS
b0194,proS
b1637,tyrS
b3384,trpS
b1719,thrS
b0026,ileS
b2890,lysS
b4129,lysU
b2697,alaS
b4258,valS
b2114,metG
b0893,serS
b1866,aspS
b3560,glyQ
b3559,glyS
b0526,cysS
b2400,gltX
b0680,glnS
b1876,argS
b1714,pheS
b1713,pheT
b2514,hisS
b0930,asnS
b0144,gluQ
b3887,dtd
b0481,ybaK
b1787,yeaK
b2559,tadA
b4049,dusA
b3260,dusB
b2140,dusC
b0661,miaB
b1870,cmoA
b1871,cmoB
b4403,yjtD
b3965,trmA
b2960,trmI
b2607,trmD
b3706,mnmE
b2581,yfiF
b3651,trmH
b2532,trmJ
b3606,trmL
b0195,trmO
b2575,yfiC
b2318,truA
b3166,truB
b2791,truC
b2745,truD
b0058,rluA
b1133,mnmA
b1344,ttcA
b3470,tusA
b3343,tusB
b3344,tusC
b3345,tusD
b0969,tusE
b2528,iscA
b2530,iscS
b2898,ygfZ
b3064,tsaD
b3741,mnmG
b4171,miaA
b2324,mnmC
b0405,queA
b0444,queC
b2765,queD
b2777,queE
b2794,queF
b4166,queG
b1764,selD
b0503,selU
b0406,tgt
b0423,thiI
b0188,tilS
b2474,tmcA
b1807,tsaB
b3282,tsaC
b4168,tsaE
b2812,tcdA
