b4162,orn
b2566,era
b3183,obgE
b0145,dksA
b3169,nusA
b0416,nusB
b3982,nusG
b2183,rsuA
b0051,rsmA
b3289,rsmB
b4371,rsmC
b3465,rsmD
b2946,rsmE
b1835,rsmF
b3740,rsmG
b0082,rsmH
b3146,rsmI
b3497,rsmJ
b1822,rlmA
b4180,rlmB
b3179,rlmE
b0807,rlmF
b3084,rlmG
b0636,rlmH
b0967,rlmI
b3499,rlmJ
b0948,rlmL
b2806,rlmM
b2517,rlmN
b2785,rlmD
b0859,rlmC
b0058,rluA
b1269,rluB
b1086,rluC
b2594,rluD
b1135,rluE
b4022,rluF
b2581,yfiF
b4373,rimI
b1066,rimJ
b0852,rimK
b1427,rimL
b2608,rimM
b0835,rimO
b0905,ycaO
b3259,prmA
b2330,prmB
b1128,roxA
b2567,rnc
b1084,rne
b3247,rng
b3162,deaD
b1343,dbpA
b2576,srmB
b2566,era
b4161,rsgA
b2511,der
b3183,obgE
b4173,hflX
b3282,tsaC
b3650,spoT
b3167,rbfA
b3170,rimP
b0528,ybcJ
b0637,rsfS
b0659,ybeY
b3180,yhbY
b3602,yibL
b4234,yjgA
b0953,rmf
b3203,hpf
b2597,raiA
b1480,sra
b1203,ychF
