b_number,gene_name
b1084,rne
b3247,rng
b2567,rnc
b4179,rnr
b4162,orn
b3780,rhlB
b0797,rhlE
b3162,deaD
b2779,eno
b3164,pnp
b3783,rho
b3916,pfkA
b0014,dnaK
b4143,groL
b4172,hfq
b2501,ppk
b0143,pcnB
b2830,rppH
b2696,csrA
b3252,csrD
b3929,rraA
b4255,rraB
b3205,rapZ
b1954,dsrA
b4585,chiX
b4450,arcZ
b4441,glmY
b4456,glmZ
b4577,sgrS
b4451,ryhB
b4417,rybB
b4597,rydC
b4699,fnrS
b4442,micA
b4427,micC
b4439,micF
b4698,mgrR
b4408,csrB
b4457,csrC
b1574,dicF
b4431,rprA
b4603,rseX
b4438,cyaR
b4443,gcvB
b4444,omrA
b4445,omrB
b4452,gadY
b4616,istR
b3864,spf
b4458,oxyS
