b_number,gene_name
b0882,clpA
b2592,clpB
b0438,clpX
b3931,hslU
b0473,htpG
b0014,dnaK
b2526,hscA
b0650,hscC
b2069,yegD
b4143,groL
b0015,dnaJ
b1000,cbpA
b0055,djlA
b2527,hscB
b3401,hslO
b2614,grpE
b3687,ibpA
b3686,ibpB
b3400,hslR
b4142,groS
b0161,degP
b3178,ftsH
b3738,atpB
b4316,fimC
b3609,secB
b4484,cpxP
b1743,spy
b4002,zraP
b3510,hdeA
b3509,hdeB
b2726,hypA
b2991,hybF
b2727,hypB
b0998,torD
b1591,dmsD
b3363,ppiA
b0525,ppiB
b0441,ppiD
b3347,fkpA
b4207,fklB
b0028,fkpB
b3349,slyD
b3775,ppiC
b0053,surA
b3781,trxA
b2582,trxC
b0492,cnoX
b0849,grxA
b1064,grxB
b3610,grxC
b1654,grxD
b3860,dsbA
b1185,dsbB
b2893,dsbC
b4136,dsbD
b2195,ccmG
b0604,dsbG
b0473,htpG
