b_number,gene_name
b2755,cas1
b2754,cas2
b2761,cas3
b2760,casA
b2759,casB
b2758,casC
b2757,casD
b2756,casE
b4350,hsdR
b4348,hsdS
b4349,hsdM
b3387,dam
b3262,yhdJ
b1961,dcm
b1159,mcrA
b4346,mcrB
b4345,mcrC
b4351,mrr
b4455,hokA
b4428,hokB
b0018,mokC
b1562,hokD
b4412,hokC
b4415,hokE
b4429,sokB
b4413,sokC
b4347,symE
b4625,symR
b4419,ldrA
b4421,ldrB
b4423,ldrC
b4453,ldrD
b4422,rdlB
b4424,rdlC
b4420,rdlA
b4454,rdlD
b4618,tisB
b4616,istR
b4667,ibsA
b4668,ibsB
b4665,ibsC
b4664,ibsD
b4666,ibsE
b4436,sibA
b4437,sibB
b4446,sibC
b4447,sibD
b4611,sibE
b4687,shoB
b4608,ohsC
b1348,ralR
b1347,rcbA
b2782,mazF
b2783,mazE
b4225,chpB
b4224,chpS
b3130,yhaV
b3129,prlF
b1563,relE
b1564,relB
b0225,yafQ
b0226,dinJ
b4539,yoeB
b2017,yefM
b1507,hipA
b1508,hipB
b4532,hicA
b1438,hicB
b0233,yafO
b0232,yafN
b0460,hha
b0461,tomB
b1306,pspC
b1305,pspB
b3083,higB
b3082,higA
b0483,ybaQ
b1477,yddM
b3022,mqsR
b3021,mqsA
b4252,tabA
b0806,mcbA
b1060,bssS
b0836,bssR
b1112,bhsA
b0095,ftsZ
b3251,mreB
b3019,parC
b3030,parE
b2400,gltX
b2005,cbtA
b0245,ykfI
b2646,ypjF
b2004,cbeA
b0246,yafW
b2645,yfjZ
b2896,ygfX
b2897,sdhE
b4559,ghoT
b4128,ghoS
b2530,iscS
