b_number,gene_name
b1888,cheA
b1887,cheW
b1884,cheR
b1883,cheB
b1882,cheY
b1881,cheZ
b4355,tsr
b1886,tar
b1421,trg
b1885,tap
b3072,aer
b1940,fliH
b1941,fliI
b1947,fliO
b1948,fliP
b1949,fliQ
b1950,fliR
b1879,flhA
b1880,flhB
b1878,flhE
b1890,motA
b1889,motB
b1939,fliG
b1945,fliM
b1946,fliN
b1938,fliF
b1080,flgI
b1072,flgA
b1079,flgH
b1073,flgB
b1074,flgC
b1075,flgD
b1077,flgF
b1078,flgG
b1081,flgJ
b1076,flgE
b1937,fliE
b1082,flgK
b1083,flgL
b1924,fliD
b1943,fliK
b1944,fliL
b1923,fliC
b1891,flhC
b1892,flhD
b1922,fliA
b1071,flgM
b1070,flgN
b1942,fliJ
b1925,fliS
b1926,fliT
b1920,tcyJ
b1921,fliZ
b2950,yggR
b2972,pppA
b4314,fimA
b4316,fimC
b4317,fimD
b0940,elfC
b3144,yraJ
b0139,htrE
b2109,yehB
b4318,fimF
b4319,fimG
b4320,fimH
b4315,fimI
b0530,sfmA
b0531,sfmC
b0532,sfmD
b0534,sfmF
b0533,sfmH
