b_number,gene_name
b0182,lpxB
b0181,lpxA
b0179,lpxD
b1054,lpxL
b1855,lpxM
b2174,lpxT
b0622,pagP
b2378,lpxP
b4114,eptA
b0096,lpxC
b0524,lpxH
b2257,arnT
b0915,lpxK
b3633,waaA
b3624,waaZ
b3621,waaC
b3620,waaF
b3632,waaQ
b3623,waaU
b3631,waaG
b3627,waaO
b3626,waaJ
b3628,waaB
b3629,waaS
b3630,waaP
b3625,waaY
b3546,eptB
b3955,eptC
b3615,waaH
b3622,waaL
b3784,rfe
b2351,yfdH
b2033,wbbJ
b2037,rfbX
b2035,wbbH
b2027,wzzB
b3197,kdsD
b1215,kdsA
b3198,kdsC
b0918,kdsB
b0222,lpcA
b3052,rfaE
b0200,gmhB
b3619,rfaD
b2255,arnA
b2253,arnB
b2254,arnC
b2256,arnD
b4544,arnE
b2258,arnF
b3786,wecB
