b_number,gene_name
b2400,gltX
b0680,glnS
b0144,gluQ
b1637,tyrS
b3384,trpS
b0526,cysS
b1876,argS
b2114,metG
b0026,ileS
b4258,valS
b0642,leuS
b2890,lysS
b4129,lysU
b1866,aspS
b0930,asnS
b2514,hisS
b3560,glyQ
b3559,glyS
b0893,serS
b0194,proS
b1719,thrS
b2697,alaS
b1714,pheS
b1713,pheT
b0928,aspC
b3572,avtA
b2290,alaA
b2379,alaC
b4054,tyrB
b0600,ybdL
b2021,hisC
b3617,kbl
b0776,bioF
b1622,malY
b3359,argD
b1748,astC
b2662,gabT
b1302,puuE
b3073,patA
b0774,bioA
b0154,hemL
b3770,ilvE
b0907,serC
b2253,arnB
b3791,wecE
