b_number,gene_name
b0886,cydC
b0887,cydD
b0914,msbA
b0448,mdlA
b0449,mdlB
b0879,macB
b2211,yojI
b1496,yddA
b0949,uup
b2425,cysP
b3917,sbp
b2424,cysU
b2423,cysW
b2422,cysA
b0763,modA
b0764,modB
b0765,modC
b0760,modF
b0365,tauA
b0367,tauC
b0366,tauB
b0936,ssuA
b0934,ssuC
b0933,ssuB
b0262,afuC
b0068,thiB
b0067,thiP
b0066,thiQ
b1123,potD
b1124,potC
b1125,potB
b1126,potA
b0854,potF
b0857,potI
b0856,potH
b0855,potG
b1440,ydcS
b1443,ydcV
b1442,ydcU
b1441,ydcT
b2679,proX
b2678,proW
b2677,proV
b2131,osmF
b2130,yehY
b2128,yehW
b2129,yehX
b1754,ynjB
b1755,ynjC
b1756,ynjD
b4034,malE
b4033,malF
b4032,malG
b4035,malK
b4035,malK
b4035,malK
b1901,araF
b4460,araH
b1900,araG
b2150,mglB
b2148,mglC
b2149,mglA
b3566,xylF
b3568,xylH
b3567,xylG
b2548,yphF
b2546,yphD
b2547,yphE
b4088,alsB
b4086,alsC
b4087,alsA
b3751,rbsB
b3750,rbsC
b3749,rbsA
b4227,ytfQ
b4230,ytfT
b4231,yjfF
b4485,ytfR
b3453,ugpB
b3452,ugpA
b3451,ugpE
b3450,ugpC
b4035,malK
b1516,lsrB
b1514,lsrC
b1515,lsrD
b1513,lsrA
b3193,mlaD
b3194,mlaE
b3195,mlaF
b3192,mlaC
b3193,mlaD
b3194,mlaE
b3195,mlaF
b3191,mlaB
b3193,mlaD
b3194,mlaE
b3195,mlaF
b1310,ycjN
b1311,ycjO
b1312,ycjP
b4035,malK
b0491,fetB
b0490,fetA
b3728,pstS
b3727,pstC
b3726,pstA
b3725,pstB
b4105,phnD
b4106,phnC
b2310,argT
b2307,hisM
b2308,hisQ
b2306,hisP
b2309,hisJ
b2307,hisM
b2308,hisQ
b2306,hisP
b0811,glnH
b0810,glnP
b0809,glnQ
b0860,artJ
b0863,artI
b0861,artM
b0862,artQ
b0864,artP
b0655,gltI
b0653,gltK
b0654,gltJ
b0652,gltL
b3269,yhdX
b3270,yhdY
b3271,yhdZ
b1920,tcyJ
b1918,tcyL
b1917,tcyN
b3458,livK
b3460,livJ
b3457,livH
b3456,livM
b3455,livG
b3454,livF
b0197,metQ
b3661,nlpA
b0198,metI
b0199,metN
b1329,mppA
b1243,oppA
b1244,oppB
b1245,oppC
b1246,oppD
b1247,oppF
b3544,dppA
b3543,dppB
b3542,dppC
b3541,dppD
b3540,dppF
b1294,sapA
b1293,sapB
b1292,sapC
b1291,sapD
b1290,sapF
b3476,nikA
b3477,nikB
b3478,nikC
b3479,nikD
b3480,nikE
b0830,gsiB
b0831,gsiC
b0832,gsiD
b0829,gsiA
b3020,ygiS
b1487,ddpA
b1486,ddpB
b1485,ddpC
b1484,ddpD
