b_number,gene_name
b1483,ddpF
b2177,yejA
b2178,yejB
b2179,yejE
b2180,yejF
b4290,fecB
b4288,fecD
b4289,fecC
b4287,fecE
b0592,fepB
b0590,fepD
b0589,fepG
b0588,fepC
b0152,fhuD
b0153,fhuB
b0151,fhuC
b0158,btuF
b1711,btuC
b1709,btuD
b1857,znuA
b1859,znuB
b1858,znuC
b4261,lptF
b4262,lptG
b3201,lptB
b1116,lolC
b1118,lolE
b1117,lolD
b2198,ccmD
b2199,ccmC
b2200,ccmB
b2201,ccmA
b3462,ftsX
b3463,ftsE
b0496,ybbP
b0495,ybbA
b0128,yadH
b0792,ybhR
b0793,ybhS
b3485,yhhJ
b0794,ybhF
b0127,yadG
b1682,sufC
b2410,yfeH
b1663,mdtK
b4044,dinF
b2943,galP
b2841,araE
b4031,xylE
b0343,lacY
b2801,fucP
b0070,setA
b2170,setB
b3659,setC
b2964,nupG
b2406,xapB
b3664,adeQ
b3714,adeP
b4064,ghxP
b4464,ghxQ
b2587,kgtP
b4111,proP
b1981,shiA
b3547,yhjX
b3224,nanT
b2789,gudP
b3093,exuT
b3691,dgoT
b3127,garP
b4356,lgoT
b0353,mhpT
b1791,nimT
b0341,cynX
b2536,hcaT
b3666,uhpT
b2240,glpT
b3667,uhpC
b1223,narK
b1469,narU
b2835,lplT
b0591,entS
b0433,ampG
b2182,bcr
b3673,emrD
b0396,araJ
b1528,ydeA
b0842,mdfA
b1053,mdtG
b1065,mdtH
b3710,mdtL
b3662,nepI
b4337,mdtM
b1657,ydhP
b2686,emrB
b1828,yebQ
b2077,mdtD
b2367,emrY
b0479,fsr
b1596,ynfM
b0898,ycaD
b3364,tsgA
b0045,yaaU
b1769,ydjE
b1775,ydjK
b2416,ptsI
b2829,ptsP
b2415,ptsH
b3206,npr
b2383,fryA
b3947,ptsA
b2169,fruB
b2417,crr
b1101,ptsG
b2417,crr
b0679,nagE
b2417,crr
b1621,malX
b3722,bglF
b2417,crr
b2715,ascF
b2417,crr
b4240,treB
b2417,crr
b2429,murP
b2417,crr
b3682,glvB
b3683,glvC
b2167,fruA
b3900,frvA
b3953,frwD
b2387,fryB
b3950,frwB
b2386,fryC
b3949,frwC
b3899,frvB
b2934,cmtB
b2933,cmtA
b3599,mtlA
b0731,mngA
b1736,chbA
b1738,chbB
b1737,chbC
b2704,srlB
b2703,srlE
b2702,srlA
b4302,sgcA
b2094,gatA
b2093,gatB
b4565,sgcB
b4304,sgcC
b1817,manX
b1818,manY
b1819,manZ
b3133,agaV
b3138,agaB
b3139,agaC
b3140,agaD
b4195,ulaC
b4194,ulaB
b4193,ulaA
b3204,ptsN
b1198,dhaM
b0875,aqpZ
b3927,glpF
b1250,kch
b0451,amtB
b1635,gstA
b0838,gstB
b2301,yfcF
b3229,sspA
b2270,yfbK
b0970,yccA
b0904,focA
b2492,focB
b3367,nirC
b3291,mscL
b0465,mscK
b4159,mscM
b2924,mscS
b0808,ybiO
b1330,ynaI
b0577,ybdG
b1890,motA
b1889,motB
b3006,exbB
b3005,exbD
b0737,tolQ
b0738,tolR
b3816,corA
b1342,zntB
b0624,crcB
b1520,yneE
b0929,ompF
b0241,phoE
b2215,ompC
b1377,ompN
b4036,lamB
b3720,bglH
b0957,ompA
b0814,ompX
b2344,fadL
b0411,tsx
b4317,fimD
b0940,elfC
b3144,yraJ
b0139,htrE
b2109,yehB
b2233,yfaL
b2000,flu
b0584,fepA
b0805,fiu
b4291,fecA
b3966,btuB
b1102,fhuE
b2155,cirA
b0150,fhuA
b1451,yncD
b0572,cusC
b3035,tolC
b4080,mdtP
b0983,gfcE
b2062,wza
b1319,ompG
b1615,uidC
b0177,bamA
b2512,bamB
b2477,bamC
b2595,bamD
b2617,bamE
b4220,tamA
b4221,tamB
b4311,nanC
b3875,ompL
b3200,lptA
b3201,lptB
b3199,lptC
b0054,lptD
b0641,lptE
b3530,bcsC
b4262,lptG
b2141,yohJ
b4120,melB
b1616,uidB
b0576,pheP
b2156,lysP
b0112,aroP
b2663,gabP
b0402,proY
b4208,cycA
b1453,ansP
b0260,mmuP
b1296,puuP
b0692,potE
b4132,cadB
b1605,ydgI
b4115,adiC
b1492,gadC
b3370,frlA
b4141,yjeH
b0752,zitB
b3915,fieF
b3040,zupT
b0575,cusA
b3514,mdtF
b0462,acrB
b2470,acrD
b3266,acrF
b2075,mdtB
b2076,mdtC
b0543,emrE
b4148,gdx
b1599,mdtI
b1600,mdtJ
b1533,eamA
b0813,rhtA
b3907,rhaT
b3819,rarD
b1447,ydcZ
b4544,arnE
b1582,ynfA
b4265,idnT
b4321,gntP
b3415,gntT
b2365,dsdX
b4476,gntU
b4296,yjhF
b2740,ygbN
b3909,kdgT
b4138,dcuA
b4123,dcuB
b3603,lldP
b2975,glcA
b0314,betT
b0040,caiT
b1429,tehA
b1216,chaA
b3196,yrbG
b3493,pitA
b2987,pitB
b3258,panF
b1015,putP
b4067,actP
b4077,gltP
b3528,dctA
b3089,sstT
b3653,gltS
b0019,nhaA
b1186,nhaB
b1191,cvrA
b0047,kefC
b0046,kefF
b3350,kefB
b3351,kefG
b3849,trkH
b1363,trkG
b3290,trkA
b0336,codB
b0511,ybbW
b2497,uraA
b1006,rutG
b3654,xanP
b2882,xanQ
b2393,nupC
b2164,psuT
b2161,nupX
b1907,tyrP
b3161,mtr
b3709,tnaB
b2796,sdaC
b3116,tdcC
b1433,ydcO
b0612,citT
b3063,ttdT
b1206,dauA
b2392,mntH
b3578,yiaN
b3577,yiaM
b3579,yiaO
b4020,yjbB
b3502,arsB
b0621,dcuC
b3227,dcuD
b2037,rfbX
b3792,wzxE
b2046,wzxC
b1069,murJ
b3747,kup
b2923,argO
b3824,rhtB
b3823,rhtC
b0328,yahN
b2578,eamB
b1798,leuE
b3240,aaeB
b4081,mdtO
b2493,yfgO
b1529,marC
b0089,ftsW
b1821,mntP
b1018,efeO
b1019,efeB
b2106,rcnA
b4354,btsT
b1252,tonB
b0741,pal
b0739,tolA
b0740,tolB
b1590,ynfH
b1589,ynfG
b1587,ynfE
b1588,ynfF
b0894,dmsA
b0895,dmsB
b0896,dmsC
b0997,torA
b0996,torC
b0998,torD
b1873,torY
b1872,torZ
b3551,bisC
b1670,ydhU
b2685,emrA
b4082,mdtN
b0574,cusB
b3513,mdtE
b0463,acrA
b3265,acrE
b2074,mdtA
b0878,macA
b3241,aaeA
b0751,pnuC
b3408,feoA
b3409,feoB
b3410,feoC
b0377,sbmA
b0658,ybeX
b3494,uspB
b4410,ecnA
b4411,ecnB
b2196,ccmF
b3508,yhiD
b0385,dgcC
b1970,yedX
b1840,yebZ
b1841,yobA
b2035,wbbH
b3622,waaL
b3584,yiaT
b1782,mipA
