b_number,gene_name
b0064,araC
b3906,rhaR
b3905,rhaS
b1735,chbR
b4116,adiY
b2437,eutR
b0564,appY
b0566,envY
b4062,soxS
b1531,marA
b4396,rob
b1384,feaR
b0305,rclR
b3515,gadW
b3516,gadX
b4118,melR
b2213,ada
b2808,gcvA
b3773,ilvY
b3828,metR
b0020,nhaR
b3961,oxyR
b2916,argP
b0076,leuO
b2537,hcaR
b3118,tdcA
b0504,allS
b0338,cynR
b1275,cysB
b1987,cbl
b2364,dsdC
b1339,abgR
b1799,dmlR
b1988,nac
b4327,hypT
b3243,aaeR
b3060,ttdR
b4480,hdfR
b1328,pgrR
b0840,deoR
b3131,agaR
b2805,fucR
b2707,srlR
b4191,ulaR
b2837,galR
b3569,xylR
b3753,rbsR
b2151,galS
b3934,cytR
b0080,cra
b4241,treR
b2714,ascG
b1658,purR
b3438,gntR
b4264,idnR
b3075,ebgR
b1620,malI
b3684,yidP
b4102,phnF
b3375,frlR
b0730,mngR
b1187,fadR
b0113,pdhR
b2980,glcC
b4324,uxuR
b3094,exuR
b3604,lldR
b4479,dgoR
b3226,nanR
b1450,mcbR
b2664,csiR
b1540,ydfH
b4357,lgoR
b0313,betI
b0464,acrR
b3641,slmA
b1013,rutR
b1649,nemR
b1618,uidR
b3264,envR
b4251,bdcR
b1111,comR
b3963,fabR
b0796,cecR
b0846,rcdA
b3743,asnC
b0889,lrp
b0447,decR
b3418,malT
b1040,csgD
b1951,rcsA
b1916,sdiA
b0294,ecpR
b3507,dctR
b4366,bglJ
b3512,gadE
b1530,marR
b1642,slyA
b2684,mprA
b0487,cueR
b3292,zntR
b4063,soxR
b2127,mlrA
b1162,bluR
b0683,fur
b4046,zur
b4018,iclR
b0346,mhpR
b0506,allR
b1827,kdgR
b3574,yiaJ
b3357,crp
b1334,fnr
b2163,yeiL
b2531,iscR
b4178,nsrR
b3501,arsR
b1434,sutR
b0817,mntR
b4089,alsR
b2427,murR
b1853,yebK
b3973,birA
b3261,fis
b4393,trpR
b0330,prpR
b3188,sfsB
b0069,sgrR
b4390,nadR
b3021,mqsA
b1299,puuR
b1508,hipB
b1570,dicA
b3082,higA
b2491,hyfR
b2709,norR
b2731,fhlA
b0162,cdaR
b0761,modE
b3555,yiaG
b3481,nikR
b3938,metJ
b1014,putA
b1564,relB
b3723,bglG
b3897,frvR
b0357,frmR
b2105,rcnR
b0435,bolA
b3842,rfaH
b3237,argR
b0676,nagC
b1594,mlc
b3601,mtlR
b1323,tyrR
b4133,cadC
b2852,ygeH
b2479,gcvR
b1399,paaX
b1303,pspF
b1306,pspC
b1512,lsrR
b1201,dhaR
b0610,rnk
b2624,alpA
b2948,yqgE
b0034,caiF
b0145,dksA
b0413,nrdR
b3422,rtcR
b1569,dicC
b3023,ygiV
b0345,lacI
