b_number,gene_name
b0473,htpG
b2779,eno
b1779,gapA
b2926,pgk
b1676,pykF
b1854,pykA
b3363,ppiA
b0605,ahpC
b4143,groL
b0014,dnaK
b4025,pgi
b2508,guaB
b3980,tufB
b3339,tufA
b1103,hinT
b2410,yfeH
b1805,fadD
b4143,groL
b2224,atoB
b2844,yqeF
b0474,adk
b0469,apt
b3960,argH
b3172,argG
b2873,hyuA
b4232,fbp
b0757,galK
b3432,glgB
b3926,glpK
b3870,glnA
b4025,pgi
b0369,hemB
b0383,phoA
b2913,serA
b4006,purH
b1805,fadD
b0116,lpd
b0042,fixB
b1852,zwf
b2508,guaB
b0014,dnaK
b4143,groL
b3980,tufB
b3339,tufA
b4143,groL
b4025,pgi
b1852,zwf
b0014,dnaK
b3919,tpiA
b3980,tufB
b3339,tufA
b4143,groL
b1852,zwf
b0755,gpmA
b3919,tpiA
b0755,gpmA
b3919,tpiA
b4149,blc
