b_number,gene_name
b1237,hns
b2669,stpA
b4000,hupA
b0440,hupB
b1712,ihfA
b0912,ihfB
b1000,cbpA
b0999,cbpM
b4396,rob
b3702,dnaA
b3149,diaA
b0966,hspQ
b0812,dps
b3261,fis
b4172,hfq
b2916,argP
b0889,lrp
b2186,yejK
b0924,mukB
b0923,mukE
b0922,mukF
b0094,ftsA
b2748,ftsB
b3463,ftsE
b0084,ftsI
b0890,ftsK
b0083,ftsL
b3933,ftsN
b0093,ftsQ
b0089,ftsW
b3462,ftsX
b0095,ftsZ
b2412,zipA
b2910,zapA
b3928,zapB
b0946,zapC
b0102,zapD
b3232,zapE
b2435,amiA
b4169,amiB
b2817,amiC
b0463,acrA
b1176,minC
b1175,minD
b1174,minE
b0958,sulA
b3641,slmA
b0687,seqA
b3251,mreB
b3250,mreC
b3249,mreD
b0634,mrdB
b3019,parC
b3030,parE
b3741,mnmG
b3740,rsmG
b3811,xerC
b2894,xerD
b2113,mrp
b3361,fic
b3865,yihA
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
