b_number,gene_name
b0027,lspA
b2972,pppA
b3335,gspO
b0565,ompT
b0975,hyaD
b2993,hybD
b2717,hycI
b2507,guaA
b1298,puuD
b2175,mepS
b1655,mepH
b1708,nlpC
b2312,purF
b3212,gltB
b3729,glmS
b0674,asnB
b3153,yhbO
b1967,hchA
b0424,yajL
b2269,elaD
b1990,ldtA
b1678,ldtE
b0819,ldtB
b1113,ldtC
b0925,ldtD
b0932,pepN
b3498,prlC
b1538,dcp
b1488,ddpX
b2821,ptrA
b1494,pqqL
b4260,pepA
b2523,pepB
b2472,dapE
b1127,pepT
b0237,pepD
b1338,abgA
b1337,abgB
b0516,allC
b1856,mepM
b0168,map
b3847,pepQ
b2908,pepP
b2385,ypdF
b2753,iap
b4328,iadA
b3178,ftsH
b3898,frvX
b4305,sgcX
b1829,htpX
b0909,ycaL
b2936,loiP
b2494,bepA
b0176,rseP
b2328,mepA
b1976,mtfA
b1598,ydgD
b0161,degP
b3234,degQ
b3235,degS
b1845,ptrB
b0839,dacC
b2010,dacD
b0632,dacA
b2134,pbpG
b0376,ampH
b2430,yfeW
b3182,dacB
b0437,clpP
b0439,lon
b0955,ycbZ
b4043,lexA
b1183,umuD
b2568,lepB
b1830,prc
b1766,sppA
b1272,sohB
b4021,pepE
b1192,ldcA
b3932,hslV
b0828,iaaA
b3447,ggt
b1435,rlhA
b2081,yegQ
b3158,yhbU
b4235,pmbA
b3244,tldD
b2209,eco
b2520,yfhM
b4175,hflC
b4174,hflK
