b_number,cog_desc,cog_id,cog_category,cog_letter,cog_class
b4475,RNA 3'-terminal phosphate cyclase,COG0430,RNA processing and modification,A,information storage and processing
b4162,oligoribonuclease,COG1949,RNA processing and modification,A,information storage and processing
