color,cond,condition,dataset,dataset_name,gene_name,growth_rate_hr,n_units
#A9BFE3,chemostat_u0.2,"M9 Minimal Medium, Chemostat (µ=0.2)",schmidt_2016,Schmidt et al. 2016,zwf,0.2,805.3629219185103
#A9BFE3,chemostat_u0.35,"M9 Minimal Medium, Chemostat (µ=0.35)",schmidt_2016,Schmidt et al. 2016,zwf,0.35,756.7359752484938
#A9BFE3,chemostat_u0.5,"M9 Minimal Medium, Chemostat (µ=0.5)",schmidt_2016,Schmidt et al. 2016,zwf,0.5,942.9569341435107
#A9BFE3,fructose,M9 Minimal Medium + Fructose,schmidt_2016,Schmidt et al. 2016,zwf,0.65,1494.1502482721253
#A9BFE3,fumarate,M9 Minimal Medium + Fumarate,schmidt_2016,Schmidt et al. 2016,zwf,0.42,786.0136768471243
#A9BFE3,galactose,M9 Minimal Medium + Galactose,schmidt_2016,Schmidt et al. 2016,zwf,0.26,1107.2398966116812
#A9BFE3,glucosamine,M9 Minimal Medium + Glucosamine,schmidt_2016,Schmidt et al. 2016,zwf,0.46,1047.7299276434176
#A9BFE3,glucose,M9 Minimal Medium + Glucose,schmidt_2016,Schmidt et al. 2016,zwf,0.58,1188.0424670369935
#A9BFE3,glycerol,M9 Minimal Medium + Glycerol,schmidt_2016,Schmidt et al. 2016,zwf,0.47,1100.0398861897181
#A9BFE3,glycerol_pAA,M9 Minimal Medium + Glycerol + Amino Acids,schmidt_2016,Schmidt et al. 2016,zwf,1.27,1501.2661940118087
#A9BFE3,lb_miller,LB Miller,schmidt_2016,Schmidt et al. 2016,zwf,1.9,2991.445057843474
#A9BFE3,mannose,M9 Minimal Medium + Mannose,schmidt_2016,Schmidt et al. 2016,zwf,0.47,926.2313569638136
#A9BFE3,osmotic_stress_glucose,M9 Minimal Medium + Glucose (Osmotic Stress),schmidt_2016,Schmidt et al. 2016,zwf,0.55,1232.6992079162478
#A9BFE3,pH6,M9 Minimal Medium + Glucose (pH = 6),schmidt_2016,Schmidt et al. 2016,zwf,0.63,1525.4761734053095
#A9BFE3,pyruvate,M9 Minimal Medium + Pyruvate,schmidt_2016,Schmidt et al. 2016,zwf,0.4,927.9790073893872
#A9BFE3,succinate,M9 Minimal Medium + Succinate,schmidt_2016,Schmidt et al. 2016,zwf,0.44,814.0865711806218
#A9BFE3,xylose,M9 Minimal Medium + Xylose,schmidt_2016,Schmidt et al. 2016,zwf,0.55,1693.8031133018399
#D56C55,glucose_minimal,Glucose Minimal Medium,valgepea_2013,Valgepea et al. 2013,zwf,0.11,1382.7880496723444
#D56C55,glucose_minimal,Glucose Minimal Medium,valgepea_2013,Valgepea et al. 2013,zwf,0.21,1459.7983852098193
#D56C55,glucose_minimal,Glucose Minimal Medium,valgepea_2013,Valgepea et al. 2013,zwf,0.31,1503.524028624028
#D56C55,glucose_minimal,Glucose Minimal Medium,valgepea_2013,Valgepea et al. 2013,zwf,0.4,1588.036007862906
#D56C55,glucose_minimal,Glucose Minimal Medium,valgepea_2013,Valgepea et al. 2013,zwf,0.49,1778.9641979874289
