gene_name,insertion_index_score,Log_likelihood_ratio,essential,non-essential,unclear
ychE,0.220679012,17.32891493,FALSE,TRUE,FALSE
oppA,0.095588235,4.380544453,FALSE,TRUE,FALSE
oppB,0.142236699,9.77437765,FALSE,TRUE,FALSE
oppC,0.101210121,5.091780816,FALSE,TRUE,FALSE
oppD,0.075936884,1.693435078,FALSE,FALSE,TRUE
oppF,0.055721393,-1.552275308,FALSE,FALSE,TRUE
yciU,0.075757576,1.667169658,FALSE,FALSE,TRUE
clsA,0.106091718,5.692702579,FALSE,TRUE,FALSE
yciY,0.126436782,8.059033683,FALSE,TRUE,FALSE
kch,0.170653907,12.66349592,FALSE,TRUE,FALSE
yciI,0.138047138,9.3283003,FALSE,TRUE,FALSE
tonB,0.040277778,-4.614558523,TRUE,FALSE,FALSE
yciA,0.140350877,9.574318509,FALSE,TRUE,FALSE
yciB,0.112962963,6.515076422,FALSE,TRUE,FALSE
yciC,0.181451613,13.70929417,FALSE,TRUE,FALSE
ompW,0.297339593,23.84481222,FALSE,TRUE,FALSE
yciE,0.130177515,8.473609508,FALSE,TRUE,FALSE
yciF,0.175648703,13.15035975,FALSE,TRUE,FALSE
yciG,0.177777778,13.35624551,FALSE,TRUE,FALSE
trpA,0.180916976,13.6580878,FALSE,TRUE,FALSE
trpB,0.101340034,5.107965999,FALSE,TRUE,FALSE
trpC,0.107929515,5.915233111,FALSE,TRUE,FALSE
trpD,0.105889724,5.668124192,FALSE,TRUE,FALSE
trpE,0.111324376,6.321304356,FALSE,TRUE,FALSE
trpL,0.044444444,-3.71643435,TRUE,FALSE,FALSE
yciV,0.115646259,6.829403234,FALSE,TRUE,FALSE
yciO,0.101449275,5.12156735,FALSE,TRUE,FALSE
yciQ,0.187763713,14.30960176,FALSE,TRUE,FALSE
rluB,0.119863014,7.31622708,FALSE,TRUE,FALSE
btuR,0.120135364,7.347382055,FALSE,TRUE,FALSE
yciK,0.108036891,5.92817484,FALSE,TRUE,FALSE
sohB,0.101904762,5.178196535,FALSE,TRUE,FALSE
yciN,0.103174603,5.335377533,FALSE,TRUE,FALSE
topA,0.01308699,-13.6624738,TRUE,FALSE,FALSE
cysB,0.118974359,7.2143327,FALSE,TRUE,FALSE
ymiA,0.224242424,17.64607401,FALSE,TRUE,FALSE
yciX,0.303571429,24.35137054,FALSE,TRUE,FALSE
acnA,0.107623318,5.878292043,FALSE,TRUE,FALSE
ribA,0.001692047,-27.86982087,TRUE,FALSE,FALSE
pgpB,0.069281046,0.692160153,FALSE,FALSE,TRUE
yciS,0.038834951,-4.941379755,TRUE,FALSE,FALSE
