object_id,formula
CPLX0-8196,[MinC]$_{2}$
PC00103,[MngR]$_{2}$
CPLX0-7608,[MnmE]$_{2}$
CPLX0-7597,[MnmG]$_{2}$
CPLX0-2521,[MoaB]$_{6}$
CPLX0-8044,[MobB]$_{2}$
CPLX0-2541,[ModE]$_{2}$
CPLX0-7418,[MprA]$_{2}$
CPLX0-7985,[MscM]$_{7}$
CPLX0-7696,[MukB]$_{2}$
CPLX0-7698,[MukF]$_{2}$
CPLX0-7745,[MurR]$_{4}$
NARQ-CPLX,[NarQ]$_{2}$
CPLX0-7682,[NfuA]$_{2}$
CPLX0-8198,[NlpI]$_{2}$
CPLX0-1,[NorV]$_{4}$
B1-CPLX,[NrdA]$_{2}$
B2-CPLX,[NrdB]$_{2}$
NRDE-CPLX,[NrdE]$_{2}$
NRDF-CPLX,[NrdF]$_{2}$
CPLX0-7756,[NsrR]$_{2}$
PHOSPHO-OMPR,[OmpR]$_{2}$
CPLX0-7731,[PaaX]$_{2}$
CPLX0-8110,[PaoD]$_{2}$
CPLX0-2423,[ParC]$_{2}$
CPLX0-8109,[PdeL]$_{2}$
PYRUVFORMLY-INACTIVE-CPLX,[PflB]$_{2}$
PHOSPHO-PHOQ,[PhoQ]$_{1}$
CPLX0-8113,[PHoU]$_{2}$
CPLX0-7837,[PpsR]$_{4}$
CPLX0-902,[PptA]$_{2}$
CPLX0-8244,[PqiB]$_{6}$
CPLX0-3,[PriB]$_{2}$
CPLX0-981,[PspF]$_{6}$
CPLX0-7938,[PtsI]$_{2}$
PC00033,[PurR]$_{2}$
ASPCARBCAT-TRIMER,[PyrB]$_{3}
ASPCARBREG-DIMER,[PyrI]$_{2}$
CPLX0-7998,[RapZ]$_{4}$
CPLX0-7928,[RelB]$_{4}$
PC00086,[RhaS]$_{2}$
CPLX0-2441,[Rho]$_{6}$
CPLX0-1881,[RidA]$_{3}$
CPLX0-8095,[RnlA]$_{2}$
CPLX0-3955,[RplL]$_{2}$
CPLX0-1642,[RraA]$_{3}$
CPLX0-8096,[RrAB]$_{2}$
CPLX0-7648,[RseB]$_{2}$
CPLX0-8237,[RusA]$_{2}$
CPLX0-8089,[SecA]$_{2}$
CPLX0-8046,[SecB]$_{4}$
CPLX0-7711,[Skp]$_{3}$
CPLX0-7922,[SlmA]$_{2}$
CPLX0-7536,[SlyD]$_{2}$
CPLX0-7923,[Spy]$_{2}$
CPLX0-8165,[Ssb]$_{4}$
CPLX0-2681,[SspB]$_{2}$
CPLX0-7824,[SufA]$_{2}$
CPLX0-8104,[Tap]$_{2}$
CPLX0-8102,[Tar]$_{2}$
CPLX0-7987,[TdcF]$_{3}$
CPLX0-7964,[TolC]$_{3}$
TORR-CPLX,[TorR]$_{2}$
TORS-CPLX,[TorS]$_{2}$
CPLX0-7854,[TreR]$_{2}$
CPLX0-8105,[Trg]$_{2}$
PC00007,[TrpR]$_{2}$
