Protein IDs,Gene Names,CN (TP3) Rep2TP3
P33937,b2206;JW2194;napA;yojC;yojD;yojE,5.135080247
P0AD65,b0635;JW0630;mrdA;pbpA,2.304723629
Q7DFV3,b1172;JW5178;ymgG,67.4193757
B1XA69;C4ZTM3;P77335,ECDH10B_1235;hlyE;b1182;clyA;hpr;JW5181;sheA;ycgD,2.555393371
P15373,b3129;JW3098;prlF;sohA,8.009775233
P02788ups,,12.16418228
P17411,b1734;celF;chbF;JW1723;ydjD,8.216324486
P45537,b3358;JW5701;yhfK,4.986595736
P02924,araF;b1901;JW1889,6.235586869
P37326,b2349;intC;intS;JW2345;yfdB,18.20160824
P25718,b3571;JW3543;malS,15.91932614
P37387,b3566;JW3538;xylF;xylT,10.10043278
P27126,b3629;JW3604;rfaS,26.69888764
P25527,b2663;gabP;JW2638,23.21936067
P0A9P9,b4266;idnO;JW4223;yjgU,21.7258004
P68187,b4035;JW3995;malK,28.50619361
P63883,amiC;b2817;JW5449;ygdN,18.95329065
P0C066,b2963;JW5481;mltC;yggZ,9.266827887
P15005;P15005-2,b4346;JW5871;mcrB;rglB,32.60667562
P00805,ansB;b2957;JW2924,13.61307736
P14294,b1763;JW1752;topB,27.70222025
P37652,b3532;bcsB;JW3500;yhjN,17.13073316
P0AB85,apbE;b2214;JW5368;yojK;yojL,11.87658206
P31600,b0568;JW0557;nfrA,7.272254956
P76142,b1516;JW1509;lsrB;yneA,41.68133426
P0AFV8,b1307;JW1300;pspD,18.41730841
P0CG19,b3643;JW3618;rph,20.08408245
P0ACG8,b3400;hslR;JW3363;yrfH,12.54329167
P10443,b0184;dnaE;JW0179;polC,28.78289989
P75822,b0869;JW5116;ybjT,23.46883208
P0ACI3,b3569;JW3541;xylR,34.9554108
P31550,b0068;JW0067;tbpA;thiB;yabL,73.25744241
P77245,b2427;JW2420;murR;yfeT,28.51381937
P31826,b1496;JW5242;yddA,18.62211463
P27129,b3626;JW3601;rfaJ;waaJ,36.67338639
P25741,b3630;JW3605;rfaP;waaP,23.91112636
P36566,b0921;JW0904;smtA;ycbD,13.11849213
P19925,b0583;entD;JW5085,43.9352921
P23842,b2395;JW5391;yfeA,15.43018788
P69902,b2374;frc;JW2371;yfdW,13.1239391
P21893,b2892;JW2860;recJ,25.0135939
P13458,b0397;JW0387;rmuA;sbcC,37.59828257
P13035,b3426;glpD;glyD;JW3389,30.47364061
P37661,b3546;eptB;JW5660;yhjW,30.28408592
P77302,b1341;JW5206;ydaM,69.21578772
P03007,b0215;dnaQ;JW0205;mutD,25.27613804
P0AA82,b0336;codB;JW0327,74.54074948
P08394,b2820;JW2788;recB;rorA,7.594715816
P30855,b2370;evgS;JW2367,30.39956176
P39396,b4354;JW5791;yjiY,17.08497858
P17888,b3935;JW3906;priA,13.60763039
P76273,b1835;JW5301;rsmF;yebU,26.15854783
P24230,b3652;JW3627;radC;recG,25.98969163
Q46877,b2710;flrD;JW2680;norV;ygaI;ygaJ;ygaK,4.153426597
P0A932,b0983;gfcE;JW0966;yccZ,36.08184502
P0ACU2,b1013;JW0998;rutR;ycdC,80.30364794
P0AC75,b3633;JW3608;kdtA;waaA,69.8476367
P39358,b4297;JW4259;yjhG,16.09036113
P0AA84,b0789;JW0772;ybhO,18.71362379
P31467,b3715;JW3693;yieH,86.27462082
P77611,b1629;JW1621;rnfC;ydgN,40.13548305
P0AB83,b1633;JW1625;nth,77.3187062
P42904,agaV;b3133;JW3102;yhaY,24.070178
P27241,b3624;JW3599;rfaZ,27.9429765
P52106,b1040;csgD;JW1023,22.33477209
P75800,b0833;JW0817;yliE,25.8491597
P71298,b0281;intF;JW0275;yagO,48.59463364
P76520,b2375;JW2372;yfdX,24.75322854
P36667,b2031;b4571;JW2016;wbbL,22.87184373
P75804,b0837;JW0821;yliI,49.67204509
P00914,b0708;JW0698;phr;phrB,26.65422246
P00634,b0383;JW0374;phoA,29.31779273
P45468,b3151;JW3120;yraQ,74.86321033
P25888,b0797;JW0781;rhlE,58.47108685
P0AFP9,b0792;JW5803;ybhR,30.92029248
P0AC47,b4153;frdB;JW4114,65.44648172
P0A8V0,b2268;elaC;JW2263;rnz,29.31888213
P76245,b1794;JW5292;yeaP,40.53311215
P30847,b2078;baeS;JW2063,31.2917761
P36771,b2289;genR;JW2284;lrhA,60.41892474
P55135,b2785;JW2756;rumA;ygcA,49.9825226
P19934,b0739;cim;excC;JW0729;lky;tolA,42.78053361
P0CF66;P0CF67;P0CF68;P0CF69;P0CF70,b0298;insE1;JW5036;b0373;insE2;JW5050;b0540;insE3;JW5074;b1027;insE4;JW5144;b2088;insE5;JW5341,41.57457357
P38051,b2265;JW2260;menF;yfbA,22.62999808
P38506,b2798;exo;JW5446;xni;ygdG,25.90145065
P52645,b1381;JW1376;ydbH,34.24948297
