FOV_ID_ss	channel_ID_ss	elongation_rate_ss	gen_time_min_ss	s_b_um_ss	s_d_um_ss	delta_s_ss
21	10	0.0188971	51	1.82	3.77	1.95
21	10	0.0179281	51	2.08	3.835	1.755
21	10	0.0191212	54	1.95	4.095	2.145
21	10	0.0197014	45	1.95	3.575	1.625
21	10	0.0183822	66	1.755	4.29	2.535
21	10	0.0220368	39	2.275	4.225	1.95
21	10	0.0190567	60	2.145	4.485	2.34
21	10	0.0185263	48	2.275	4.29	2.015
21	10	0.0172926	45	2.21	4.03	1.82
21	10	0.018088	51	1.82	3.64	1.82
21	10	0.0201809	45	1.95	3.835	1.885
21	10	0.0197404	57	1.885	4.225	2.34
21	10	0.0192641	54	2.015	4.29	2.275
21	10	0.0197321	48	2.015	3.77	1.755
21	10	0.0186952	63	1.82	4.615	2.795
21	10	0.0188236	39	2.08	3.51	1.43
21	10	0.0183302	54	1.755	3.445	1.69
21	10	0.0185129	60	1.625	3.64	2.015
21	10	0.021707	60	1.885	4.68	2.795
21	10	0.0207412	39	2.6	4.485	1.885
21	10	0.018934	48	2.34	4.55	2.21
21	10	0.019862	42	2.275	3.965	1.69
21	10	0.0183913	51	2.34	4.485	2.145
21	10	0.0192674	42	2.34	4.16	1.82
21	10	0.018222	51	2.275	4.225	1.95
21	10	0.0209622	42	2.275	4.225	1.95
21	10	0.0201746	48	2.47	4.745	2.275
21	10	0.0189097	42	2.405	4.29	1.885
21	10	0.0187828	60	2.015	4.225	2.21
21	10	0.0189243	54	2.145	4.16	2.015
21	10	0.0188694	48	1.82	3.575	1.755
21	10	0.0199369	69	1.755	4.42	2.665
21	10	0.0197307	45	2.21	4.095	1.885
21	10	0.0189756	54	2.08	4.745	2.665
21	20	0.0231957	54	1.82	3.9	2.08
21	20	0.0189774	60	1.95	4.29	2.34
21	20	0.018374	63	2.015	4.55	2.535
21	20	0.0212553	42	2.21	4.225	2.015
21	20	0.0187339	54	2.015	4.29	2.275
21	20	0.0182774	54	2.34	4.42	2.08
21	20	0.019068	54	2.21	4.615	2.405
21	20	0.0185418	30	2.275	3.445	1.17
21	20	0.0210523	60	1.625	4.355	2.73
21	20	0.025042	42	2.08	4.355	2.275
21	20	0.0196158	54	2.275	4.355	2.08
21	20	0.0177003	42	2.21	3.77	1.56
21	20	0.0193851	45	1.885	4.03	2.145
21	20	0.0167763	60	2.145	4.42	2.275
21	20	0.020903	45	2.015	3.965	1.95
21	20	0.024707	48	1.82	4.03	2.21
21	20	0.02162	51	1.95	4.03	2.08
21	20	0.0233643	48	2.015	4.42	2.405
21	20	0.0195416	42	2.47	4.16	1.69
21	20	0.0224121	48	2.145	4.55	2.405
21	20	0.0201447	48	2.405	4.485	2.08
21	20	0.0215937	48	2.145	4.485	2.34
21	20	0.0223494	48	2.275	4.875	2.6
21	20	0.0197153	33	2.6	3.9	1.3
21	20	0.0187292	48	1.69	3.51	1.82
21	20	0.0200963	54	1.625	3.77	2.145
21	20	0.0201894	54	1.495	3.575	2.08
21	20	0.0209564	63	1.56	3.77	2.21
21	20	0.0209815	51	1.82	4.03	2.21
21	20	0.019005	57	1.82	4.03	2.21
21	50	0.018562	57	1.95	4.03	2.08
21	50	0.0186569	39	2.08	3.575	1.495
21	50	0.0182379	54	2.145	4.095	1.95
21	50	0.01974	51	1.95	3.9	1.95
21	50	0.0192201	51	2.015	4.03	2.015
21	50	0.0203358	54	2.08	4.42	2.34
21	50	0.0196408	48	2.015	3.965	1.95
21	50	0.0196189	54	2.015	4.29	2.275
21	50	0.0186525	42	2.015	3.575	1.56
21	50	0.0196166	45	1.69	3.12	1.43
21	50	0.0186487	57	1.56	3.25	1.69
21	50	0.018927	63	1.82	4.29	2.47
21	50	0.0206483	42	2.34	4.29	1.95
21	50	0.0205722	51	2.21	4.485	2.275
21	50	0.0199169	30	2.47	3.705	1.235
21	50	0.019506	54	1.82	3.77	1.95
21	50	0.0188147	54	2.08	4.16	2.08
21	50	0.021064	42	2.145	4.095	1.95
21	50	0.020813	39	2.015	3.64	1.625
21	50	0.0198023	54	1.82	3.9	2.08
21	50	0.0197047	57	1.95	4.42	2.47
21	50	0.0193324	36	2.145	3.575	1.43
21	50	0.018599	45	1.82	3.315	1.495
21	50	0.018823	60	1.755	3.965	2.21
21	50	0.0190562	42	2.08	3.64	1.56
21	50	0.0192726	45	1.82	3.445	1.625
21	50	0.0187833	48	1.625	3.25	1.625
21	50	0.0198926	51	1.625	3.51	1.885
21	50	0.0199317	57	1.69	3.705	2.015
21	50	0.0218663	51	2.015	4.55	2.535
21	50	0.0193137	48	2.21	4.55	2.34
21	50	0.0226846	48	2.08	4.55	2.47
21	50	0.0223529	48	2.275	4.875	2.6
21	50	0.016492	45	2.535	4.355	1.82
21	50	0.0164295	57	2.34	4.16	1.82
21	60	0.0186464	54	1.82	3.705	1.885
21	60	0.0190838	48	1.885	3.575	1.69
