FOV_ID_ss	channel_ID_ss	elongation_rate_ss	gen_time_min_ss	s_b_um_ss	s_d_um_ss	delta_s_ss
1	20	0.0626141	18	3.055	6.825	3.77
1	20	0.0572143	20.25	3.25	7.41	4.16
1	20	0.0560837	17.25	3.835	7.475	3.64
1	20	0.060448	18	3.445	7.345	3.9
1	20	0.053929	16.5	3.77	6.955	3.185
1	20	0.0557455	15.75	3.51	6.63	3.12
1	20	0.0579942	17.25	3.12	6.5	3.38
1	20	0.056585	21	3.12	7.085	3.965
1	20	0.0560216	19.5	3.445	7.475	4.03
1	20	0.0588304	15	3.77	7.085	3.315
1	20	0.0579457	16.5	3.445	6.695	3.25
1	20	0.054922	21	3.315	7.605	4.29
1	20	0.0603811	16.5	3.77	7.67	3.9
1	20	0.0583107	17.25	3.51	7.02	3.51
1	20	0.0611396	18	3.38	7.605	4.225
1	20	0.0533543	17.25	3.51	6.63	3.12
1	20	0.0579929	21	3.25	7.93	4.68
1	20	0.0618968	17.25	4.03	8.255	4.225
1	20	0.0590608	12	4.225	6.825	2.6
1	20	0.0590047	18.75	3.38	7.54	4.16
1	20	0.0601286	17.25	3.77	7.8	4.03
1	20	0.062383	15	4.095	8.06	3.965
1	20	0.057317	19.5	3.9	8.45	4.55
1	20	0.0606367	16.5	4.29	8.515	4.225
1	20	0.0588948	14.25	4.095	7.215	3.12
1	20	0.0526583	17.25	3.51	6.565	3.055
1	20	0.0571433	18.75	3.185	6.76	3.575
1	20	0.0599944	18.75	3.38	7.215	3.835
1	20	0.0605809	15	3.445	6.565	3.12
1	20	0.059339	21	3.315	7.995	4.68
1	20	0.0607219	15	4.225	7.995	3.77
1	20	0.0588007	16.5	3.51	7.02	3.51
1	20	0.0551787	16.5	3.38	6.37	2.99
1	20	0.0528009	21	3.055	7.02	3.965
1	20	0.0547393	15.75	3.445	6.37	2.925
1	20	0.0583687	20.25	3.25	7.605	4.355
1	20	0.0599454	22.5	3.9	10.205	6.305
1	20	0.0598527	9.75	5.07	7.8	2.73
1	20	0.0560521	18	3.9	7.865	3.965
1	20	0.055046	15	4.095	7.54	3.445
1	30	0.0552173	27	4.225	12.415	8.19
1	50	0.0571607	11.25	4.81	7.605	2.795
1	50	0.0504819	13.5	4.03	6.565	2.535
1	50	0.0504841	18	3.575	6.825	3.25
1	50	0.0558811	20.25	3.38	7.54	4.16
1	50	0.0570061	17.25	3.705	7.54	3.835
1	50	0.0537906	16.5	3.705	6.955	3.25
1	50	0.0522752	16.5	3.705	6.825	3.12
1	50	0.0573971	18.75	3.575	7.54	3.965
1	50	0.0556522	21	3.705	8.19	4.485
1	50	0.061495	14.25	4.485	8.515	4.03
1	50	0.0582565	15	4.29	7.865	3.575
1	50	0.0628995	17.25	3.705	7.93	4.225
1	50	0.0524518	13.5	3.705	6.175	2.47
1	50	0.0557354	24	3.12	7.865	4.745
1	50	0.057846	15.75	3.705	7.02	3.315
1	50	0.0521247	18.75	3.25	6.63	3.38
1	50	0.0548228	20.25	3.38	7.41	4.03
1	50	0.054823	18.75	3.77	7.41	3.64
1	50	0.0538385	17.25	3.9	7.605	3.705
1	50	0.0504546	18.75	3.835	7.8	3.965
1	50	0.0534433	14.25	4.16	7.085	2.925
1	50	0.0528989	16.5	3.575	6.695	3.12
1	50	0.0525261	18	3.51	6.955	3.445
1	50	0.0492243	13.5	3.835	6.24	2.405
1	50	0.0523757	21.75	3.055	7.02	3.965
1	50	0.0556657	18	3.77	7.475	3.705
1	50	0.0528769	21	3.965	8.58	4.615
1	50	0.0601989	15	4.355	8.58	4.225
1	50	0.0582037	21.75	4.355	9.88	5.525
1	50	0.051846	16.5	5.265	9.36	4.095
1	50	0.0549499	11.25	4.875	7.735	2.86
1	50	0.0521103	14.25	4.03	6.955	2.925
1	50	0.0517683	16.5	3.705	6.89	3.185
1	50	0.0531237	18	3.77	7.54	3.77
1	50	0.0535887	25.5	3.77	9.945	6.175
1	50	0.0572193	10.5	5.33	8.125	2.795
1	50	0.0563479	18.75	3.965	8.32	4.355
1	50	0.0554205	14.25	4.225	7.475	3.25
1	50	0.0557262	20.25	3.77	8.19	4.42
1	50	0.0538567	19.5	4.485	9.36	4.875
1	50	0.0583215	11.25	4.485	6.955	2.47
2	40	0.0603311	18	3.25	6.63	3.38
2	40	0.0615278	15.75	3.315	6.63	3.315
2	40	0.0607557	18.75	3.055	6.89	3.835
2	40	0.0625242	19.5	3.51	8.385	4.875
2	40	0.0679483	12	4.16	7.085	2.925
2	40	0.0643071	15.75	3.38	6.76	3.38
2	40	0.0591978	18	3.12	6.76	3.64
2	40	0.0584512	21	3.055	7.345	4.29
2	40	0.0571671	15	3.705	6.695	2.99
2	40	0.0634917	20.25	3.185	7.93	4.745
2	40	0.0629466	15	4.16	7.995	3.835
2	40	0.0635725	15	3.77	7.28	3.51
2	40	0.0596886	17.25	3.38	7.085	3.705
2	40	0.0566058	18	3.445	6.76	3.315
2	40	0.060725	16.5	3.25	6.565	3.315
2	40	0.0610602	18	3.055	6.37	3.315
2	40	0.0623589	17.25	3.12	6.63	3.51
2	40	0.060379	15	3.51	6.565	3.055
2	40	0.0608353	20.25	3.185	7.54	4.355
2	40	0.0579653	18.75	3.575	7.215	3.64
2	40	0.0589364	15.75	3.64	7.02	3.38
2	40	0.061933	15.75	3.575	7.215	3.64
2	40	0.0566891	13.5	3.705	6.37	2.665
2	40	0.0598226	19.5	3.185	7.28	4.095
2	40	0.0672497	18.75	3.64	8.515	4.875
2	40	0.0695769	12	4.615	7.8	3.185
2	40	0.0678653	16.5	3.835	8.125	4.29
2	40	0.0633314	12.75	4.16	7.28	3.12
2	40	0.0456824	15	3.51	6.24	2.73
2	40	0.0550931	15.75	3.055	5.655	2.6
2	40	0.0596496	26.25	2.6	7.735	5.135
2	40	0.0620672	15	3.77	7.28	3.51
2	40	0.0623888	15.75	3.575	6.955	3.38
2	40	0.0571722	16.5	3.575	6.695	3.12
2	40	0.0525587	15.75	3.575	6.37	2.795
