FOV_ID_ss	channel_ID_ss	elongation_rate_ss	gen_time_min_ss	s_b_um_ss	s_d_um_ss	delta_s_ss
1	10	0.0348236	27	2.86	5.785	2.925
1	10	0.0388598	23	2.99	5.525	2.535
1	10	0.0363411	23	2.86	5.07	2.21
1	10	0.0380727	28	2.535	5.46	2.925
1	10	0.0385003	29	2.795	6.045	3.25
1	10	0.0341591	21	3.055	5.135	2.08
1	10	0.0336839	31	2.73	5.85	3.12
1	10	0.0363909	24	3.185	5.85	2.665
1	10	0.0341958	30	2.795	5.915	3.12
1	10	0.0387551	27	2.99	6.37	3.38
1	10	0.0381367	20	3.315	5.72	2.405
1	10	0.0347312	30	2.86	5.785	2.925
1	10	0.0365153	27	2.925	5.98	3.055
1	10	0.0388052	23	3.055	5.46	2.405
1	10	0.0377182	28	2.73	5.85	3.12
1	10	0.0351272	25	2.99	5.655	2.665
1	10	0.0351085	29	2.665	5.72	3.055
1	10	0.0380678	26	2.925	5.85	2.925
1	10	0.0355256	26	2.925	5.72	2.795
1	10	0.0385046	26	2.86	5.85	2.99
1	10	0.0376405	20	2.99	5.005	2.015
1	10	0.0398083	22	2.47	4.55	2.08
1	10	0.0407283	32	2.145	5.2	3.055
1	10	0.0363487	29	2.535	5.33	2.795
1	10	0.0374216	28	2.665	5.655	2.99
1	10	0.0363924	30	2.73	6.045	3.315
1	10	0.0378895	40	2.99	8.385	5.395
1	10	0.0401009	17	4.095	6.5	2.405
1	10	0.0350614	26	3.445	6.63	3.185
1	10	0.0364331	22	3.185	5.655	2.47
1	10	0.0365099	27	2.795	5.72	2.925
1	10	0.0344202	25	2.73	5.07	2.34
1	10	0.0318891	34	2.47	5.265	2.795
1	10	0.0409433	28	2.665	5.915	3.25
1	10	0.039576	26	2.795	5.785	2.99
1	10	0.0396119	21	2.99	5.395	2.405
1	10	0.036659	32	2.6	6.045	3.445
1	10	0.0349475	34	3.055	7.085	4.03
1	10	0.0408744	22	4.225	7.995	3.77
1	10	0.041454	19	4.03	6.955	2.925
1	10	0.0367213	22	3.575	6.24	2.665
1	20	0.0393479	27	2.405	5.07	2.665
1	20	0.0386844	27	2.405	5.07	2.665
1	20	0.0388272	30	2.6	5.915	3.315
1	20	0.0352821	28	2.795	5.59	2.795
1	20	0.0379241	25	2.795	5.59	2.795
1	20	0.0366406	29	2.665	5.72	3.055
1	20	0.0381387	24	2.86	5.525	2.665
1	20	0.03657	27	2.665	5.265	2.6
1	20	0.0359873	29	2.665	5.785	3.12
1	20	0.0382612	25	2.795	5.395	2.6
1	20	0.0384102	28	2.535	5.46	2.925
1	20	0.0413049	26	2.665	5.655	2.99
1	20	0.0362287	25	2.99	5.785	2.795
1	20	0.0349274	30	2.86	5.915	3.055
1	20	0.0386202	25	3.055	6.11	3.055
1	20	0.0401376	29	2.86	6.5	3.64
1	20	0.0406811	23	3.445	6.76	3.315
1	20	0.042422	22	3.185	6.24	3.055
1	20	0.0394585	22	3.055	5.785	2.73
1	20	0.0367896	30	2.73	6.045	3.315
1	20	0.0386721	25	2.795	5.46	2.665
1	20	0.0406755	22	2.86	5.265	2.405
