FOV_ID_ss	channel_ID_ss	elongation_rate_ss	gen_time_min_ss	s_b_um_ss	s_d_um_ss	delta_s_ss
2	40	0.0240932	38	2.08	3.9	1.82
2	40	0.0249713	44	1.885	3.835	1.95
2	40	0.0220491	46	1.885	4.03	2.145
2	40	0.0270108	34	2.08	4.03	1.95
2	40	0.0278036	38	1.95	4.095	2.145
2	40	0.0256744	44	2.08	4.615	2.535
2	40	0.0271236	32	2.145	3.965	1.82
2	40	0.0266583	40	1.82	3.835	2.015
2	40	0.025875	46	1.82	4.225	2.405
2	40	0.0260351	42	2.145	4.615	2.47
2	40	0.0244235	32	2.405	4.095	1.69
2	40	0.0255581	34	2.08	3.835	1.755
2	40	0.0264137	40	1.95	4.29	2.34
2	40	0.0261466	38	2.21	4.42	2.21
2	40	0.0242361	36	2.275	4.03	1.755
2	40	0.0234434	50	1.755	3.965	2.21
2	40	0.0258172	40	2.145	4.355	2.21
2	40	0.0279196	30	2.145	3.9	1.755
2	40	0.0278747	48	1.885	4.68	2.795
2	40	0.0273543	42	2.405	5.46	3.055
2	40	0.0285271	24	2.665	4.42	1.755
2	40	0.0261782	30	2.34	4.095	1.755
2	40	0.0254095	50	2.015	4.745	2.73
2	40	0.026788	36	2.47	5.005	2.535
2	40	0.029751	26	2.535	4.29	1.755
2	40	0.0264252	40	2.08	4.225	2.145
2	40	0.0269173	42	1.885	4.225	2.34
2	40	0.0271095	38	2.145	4.355	2.21
2	40	0.0265605	44	2.145	5.005	2.86
2	40	0.0267764	30	2.47	4.29	1.82
2	40	0.0269458	36	2.145	4.16	2.015
2	40	0.0279778	38	1.95	4.16	2.21
2	40	0.0274932	36	2.21	4.355	2.145
2	40	0.0271457	38	2.21	4.42	2.21
2	40	0.0263918	44	2.275	5.07	2.795
2	40	0.0230649	38	2.73	4.94	2.21
2	40	0.0262496	32	2.535	4.68	2.145
2	40	0.025735	30	2.405	4.095	1.69
2	40	0.0257922	40	1.95	4.095	2.145
2	40	0.027002	40	2.08	4.355	2.275
2	40	0.02535	36	2.21	4.095	1.885
2	40	0.0237836	50	2.015	4.745	2.73
2	40	0.0278672	32	2.34	4.355	2.015
2	40	0.0276727	34	2.145	4.16	2.015
2	40	0.0289306	34	2.08	4.03	1.95
2	40	0.0258501	38	2.015	3.965	1.95
2	50	0.0180018	38	2.925	4.745	1.82
2	50	0.0222204	36	2.535	4.55	2.015
2	50	0.0228147	40	2.405	4.68	2.275
2	50	0.0230014	48	2.405	5.265	2.86
2	50	0.0239559	34	2.535	4.485	1.95
2	50	0.0226159	40	2.21	4.29	2.08
2	50	0.025479	32	2.145	3.835	1.69
2	50	0.0277255	40	1.885	4.03	2.145
2	50	0.0268101	34	1.95	3.835	1.885
2	50	0.0245267	42	1.95	3.77	1.82
2	50	0.0255037	40	1.95	4.03	2.08
2	50	0.0246303	40	2.015	3.965	1.95
2	50	0.027415	34	2.015	3.64	1.625
2	50	0.0273771	44	1.69	4.225	2.535
2	50	0.0267057	40	2.08	4.095	2.015
2	50	0.0260971	46	1.885	4.55	2.665
2	50	0.0255946	36	2.405	4.29	1.885
2	50	0.0288861	36	2.145	4.16	2.015
2	50	0.0255451	38	2.015	4.095	2.08
2	50	0.0256133	32	2.08	3.575	1.495
2	50	0.0261236	42	1.95	4.225	2.275
2	50	0.0272109	38	2.015	4.03	2.015
2	50	0.0276282	38	1.95	4.095	2.145
2	50	0.0248331	38	2.015	4.03	2.015
2	50	0.0274084	36	1.95	4.095	2.145
2	50	0.0276858	42	2.015	4.485	2.47
2	50	0.025578	34	2.145	4.095	1.95
2	50	0.0240364	38	2.08	3.9	1.82
2	50	0.0258181	60	1.95	5.2	3.25
2	50	0.0330043	16	2.6	3.64	1.04
2	50	0.0273516	40	1.885	4.095	2.21
2	50	0.0266148	38	2.145	4.355	2.21
2	50	0.0254231	38	2.21	4.485	2.275
2	50	0.0267853	34	2.275	4.16	1.885
2	50	0.0261603	42	1.95	4.29	2.34
2	50	0.0249561	42	2.21	4.615	2.405
2	50	0.0295899	30	2.145	4.03	1.885
2	50	0.0258535	36	2.08	3.965	1.885
2	50	0.0266155	42	1.885	4.03	2.145
2	50	0.026075	38	2.145	4.29	2.145
2	50	0.0254551	44	2.015	4.42	2.405
2	50	0.0269362	32	2.145	4.03	1.885
2	50	0.0267811	38	2.015	4.095	2.08
2	60	0.0265424	34	2.275	4.29	2.015
2	60	0.0281262	44	2.015	4.81	2.795
2	60	0.0266877	42	2.34	5.135	2.795
2	60	0.0273836	30	2.47	4.355	1.885
2	60	0.0263908	38	2.21	4.42	2.21
2	60	0.027262	36	2.08	4.225	2.145
2	60	0.0309021	28	2.08	3.77	1.69
2	60	0.0267717	46	1.82	4.355	2.535
2	60	0.0265146	34	2.21	4.225	2.015
2	60	0.0257923	40	2.015	4.225	2.21
2	60	0.0262228	38	1.95	4.095	2.145
2	60	0.0293096	32	2.015	3.835	1.82
2	60	0.0266915	40	1.82	3.965	2.145
2	60	0.0286636	36	1.885	4.095	2.21
2	60	0.0249795	46	1.95	4.485	2.535
2	60	0.0290317	36	2.275	4.55	2.275
2	60	0.0289748	36	2.21	4.55	2.34
2	60	0.0286395	36	2.015	4.16	2.145
2	60	0.0286054	30	2.08	3.77	1.69
2	60	0.0273291	40	1.885	4.03	2.145
2	60	0.0283719	40	1.885	4.225	2.34
2	60	0.0246471	44	1.95	4.29	2.34
2	60	0.0264548	38	2.08	4.225	2.145
2	60	0.0281666	38	1.95	4.095	2.145
2	60	0.027643	38	1.95	4.095	2.145
2	61	0.0290339	38	1.82	3.965	2.145
2	61	0.0294254	38	1.95	4.355	2.405
2	61	0.0293669	30	2.275	4.095	1.82
2	61	0.0294276	38	2.08	4.225	2.145
2	61	0.0286505	40	1.95	4.29	2.34
2	61	0.0272335	40	2.08	4.42	2.34
2	61	0.0263861	40	2.145	4.355	2.21
2	61	0.0275556	36	2.21	4.355	2.145
2	61	0.0280942	36	2.145	4.29	2.145
2	61	0.0266881	44	2.015	4.68	2.665
2	61	0.0279577	34	2.145	4.16	2.015
2	61	0.0252518	40	1.885	3.835	1.95
2	61	0.0263596	36	1.885	3.705	1.82
2	61	0.0269331	48	1.82	4.42	2.6
2	61	0.0260354	44	2.08	4.745	2.665
2	61	0.0277126	32	2.34	4.42	2.08
2	61	0.0280273	38	2.015	4.16	2.145
2	61	0.0286203	36	2.08	4.225	2.145
2	70	0.0254964	36	2.145	3.9	1.755
2	70	0.0241907	38	1.82	3.51	1.69
2	70	0.0281945	42	1.69	3.705	2.015
2	70	0.0270433	50	1.885	4.875	2.99
2	70	0.0275299	40	2.275	5.07	2.795
2	70	0.0288824	32	2.405	4.615	2.21
2	70	0.0277278	34	2.34	4.55	2.21
2	70	0.0269614	32	2.015	3.705	1.69
2	70	0.025502	44	1.69	3.575	1.885
2	70	0.0226747	44	1.82	3.705	1.885
2	70	0.0255986	42	1.625	3.51	1.885
2	70	0.0255974	50	1.625	3.835	2.21
2	70	0.0267768	44	1.69	3.835	2.145
2	70	0.0256602	40	1.95	4.095	2.145
2	70	0.0260886	44	2.015	4.485	2.47
2	70	0.0279922	34	2.145	4.095	1.95
2	70	0.0264317	34	2.015	3.77	1.755
2	70	0.0257831	44	1.82	4.03	2.21
2	70	0.0289341	34	1.885	3.835	1.95
2	70	0.0288741	38	1.82	3.835	2.015
2	70	0.0285984	40	1.755	3.965	2.21
2	70	0.0277189	44	1.885	4.485	2.6
2	70	0.0263721	38	2.145	4.225	2.08
2	70	0.0275299	32	2.08	3.965	1.885
2	70	0.0276999	42	1.82	4.095	2.275
2	70	0.0279149	38	1.95	4.095	2.145
2	70	0.0269631	46	1.885	4.55	2.665
2	70	0.0271912	40	2.015	4.42	2.405
2	70	0.0262013	48	1.95	5.005	3.055
2	70	0.0265622	30	2.405	4.16	1.755
2	70	0.0261092	40	2.08	4.42	2.34
2	70	0.0254971	38	2.145	4.225	2.08
2	70	0.0274463	36	1.82	3.77	1.95
2	70	0.0266103	40	1.82	3.77	1.95
2	70	0.0241474	44	1.82	3.9	2.08
2	70	0.0255799	46	1.755	3.965	2.21
2	70	0.0245178	48	2.015	4.55	2.535
2	70	0.0263443	44	2.145	4.94	2.795
2	70	0.0261015	36	2.21	4.485	2.275
2	70	0.0244274	32	2.275	4.03	1.755
2	70	0.0233428	50	1.885	4.42	2.535
2	70	0.0268311	36	2.145	4.225	2.08
2	70	0.0275404	34	1.95	3.64	1.69
2	80	0.027463	38	2.275	4.745	2.47
2	80	0.0270295	34	2.535	4.81	2.275
2	80	0.0273188	32	2.47	4.355	1.885
2	80	0.0261329	38	2.145	4.485	2.34
2	80	0.025634	42	2.405	5.07	2.665
2	80	0.0274777	36	2.6	5.07	2.47
2	80	0.0255257	38	2.73	5.2	2.47
2	80	0.0242424	38	2.6	5.07	2.47
2	80	0.026942	32	2.34	4.42	2.08
2	80	0.0271008	32	2.275	4.225	1.95
2	80	0.0266096	44	2.145	4.94	2.795
2	80	0.0270608	34	2.47	4.745	2.275
2	80	0.0266806	36	2.405	4.81	2.405
2	80	0.0288453	38	2.275	4.81	2.535
2	80	0.0271496	36	2.47	5.07	2.6
2	80	0.0260063	34	2.47	4.745	2.275
2	80	0.03171	26	2.535	4.615	2.08
2	80	0.0265412	42	2.21	4.94	2.73
2	80	0.0269015	36	2.795	5.33	2.535
2	80	0.0263903	36	2.665	5.265	2.6
2	80	0.0260292	30	2.795	4.81	2.015
2	80	0.026668	36	2.47	4.745	2.275
2	80	0.029016	40	2.34	5.395	3.055
2	80	0.0263353	30	2.6	4.55	1.95
2	80	0.0269869	36	2.275	4.55	2.275
2	80	0.0283092	36	2.34	4.68	2.34
2	80	0.0262198	36	2.405	4.68	2.275
2	80	0.0261852	40	2.275	4.94	2.665
2	80	0.0274504	34	2.535	4.745	2.21
2	80	0.0279059	36	2.275	4.68	2.405
2	80	0.0244875	56	2.21	5.72	3.51
2	80	0.026104	28	2.73	4.485	1.755
2	80	0.0276425	34	2.275	4.55	2.275
2	80	0.0282512	40	2.34	5.2	2.86
2	80	0.0295066	34	2.665	5.46	2.795
2	80	0.0285829	34	2.73	5.135	2.405
2	80	0.0289	28	2.665	4.68	2.015
2	80	0.0256697	36	2.08	4.095	2.015
2	80	0.0282837	32	2.015	3.705	1.69
2	80	0.0267756	40	1.69	3.705	2.015
2	80	0.0243852	44	1.885	4.095	2.21
2	80	0.0259705	40	2.015	4.095	2.08
2	80	0.0265711	40	1.82	3.9	2.08
2	80	0.0265783	38	2.015	4.095	2.08
2	80	0.0248254	42	2.015	4.16	2.145
2	80	0.0254835	42	2.21	4.355	2.145
2	80	0.0290693	34	2.145	4.485	2.34
2	80	0.0281739	34	2.21	4.485	2.275
2	100	0.0297481	40	1.95	4.615	2.665
2	100	0.0297662	22	2.34	3.77	1.43
2	100	0.0246455	42	2.015	3.965	1.95
2	100	0.024602	50	1.82	4.355	2.535
2	100	0.0269123	36	2.08	4.225	2.145
2	100	0.0267832	44	1.885	4.29	2.405
2	100	0.0259258	42	2.015	4.42	2.405
2	100	0.0267289	36	2.08	4.095	2.015
2	100	0.0297712	40	1.885	4.42	2.535
2	100	0.0300258	30	2.21	4.095	1.885
2	100	0.0285475	42	1.69	4.03	2.34
2	100	0.0288861	40	1.95	4.29	2.34
2	100	0.0286892	40	2.015	4.355	2.34
2	100	0.0265991	38	2.21	4.42	2.21
2	100	0.0286085	38	2.145	4.42	2.275
2	100	0.0278388	34	2.275	4.42	2.145
2	100	0.0249763	38	2.08	4.29	2.21
2	100	0.0262304	34	2.015	3.705	1.69
2	100	0.0286344	38	1.82	3.9	2.08
2	100	0.0255556	44	1.69	3.9	2.21
2	100	0.0280003	42	1.82	4.16	2.34
2	100	0.0268607	42	2.015	4.355	2.34
2	100	0.0311253	28	2.21	4.095	1.885
2	100	0.0283832	40	2.015	4.42	2.405
2	100	0.0290974	40	2.015	4.615	2.6
2	100	0.0303587	28	2.275	3.965	1.69
2	100	0.0303446	34	2.015	4.225	2.21
2	100	0.0290392	36	1.95	4.095	2.145
2	100	0.0266465	46	1.755	4.55	2.795
2	100	0.0299638	30	2.21	4.03	1.82
2	100	0.0279012	40	2.015	4.16	2.145
2	100	0.0281076	36	2.08	4.095	2.015
2	100	0.0284558	34	2.145	4.355	2.21
2	100	0.0293769	38	2.08	4.485	2.405
2	100	0.0287567	34	2.21	4.225	2.015
2	100	0.0271464	42	2.015	4.225	2.21
2	100	0.0268332	44	1.95	4.485	2.535
2	100	0.0300023	36	2.21	4.875	2.665
2	100	0.0304909	28	2.665	4.745	2.08
2	100	0.0284696	32	2.405	4.55	2.145
2	100	0.0258596	40	2.145	4.485	2.34
2	100	0.0275654	46	2.08	4.94	2.86
2	100	0.0262717	32	2.34	4.16	1.82
2	100	0.0280272	34	2.015	4.03	2.015
2	100	0.0283742	36	2.08	4.355	2.275
2	100	0.0265897	46	1.95	4.615	2.665
2	110	0.0282055	32	2.21	4.16	1.95
2	110	0.0261752	42	1.95	4.225	2.275
2	110	0.0261285	46	2.08	4.68	2.6
2	110	0.0264227	34	2.21	4.16	1.95
2	110	0.0261925	50	1.95	4.94	2.99
2	110	0.0277888	32	2.535	4.81	2.275
2	110	0.0259508	34	2.405	4.55	2.145
2	110	0.0257969	34	2.145	4.03	1.885
2	110	0.0244335	42	1.95	4.225	2.275
2	110	0.0254506	42	2.08	4.485	2.405
2	110	0.0261768	32	2.21	4.095	1.885
2	110	0.0257845	46	2.015	4.68	2.665
2	110	0.0277398	36	2.47	5.005	2.535
2	110	0.030709	30	2.47	4.615	2.145
2	110	0.0276087	38	2.145	4.615	2.47
2	110	0.0274787	32	2.34	4.355	2.015
2	110	0.0265372	34	2.08	3.835	1.755
2	110	0.0271004	44	2.015	4.615	2.6
2	110	0.0270018	34	2.34	4.485	2.145
2	110	0.0270114	38	2.08	4.29	2.21
2	110	0.0258168	42	2.21	4.745	2.535
2	110	0.0289282	32	2.6	4.81	2.21
2	110	0.029921	30	2.21	4.225	2.015
2	110	0.0295648	32	2.08	4.095	2.015
2	110	0.0263548	38	2.08	4.225	2.145
2	110	0.0272032	38	2.21	4.42	2.21
2	110	0.0258228	38	2.405	4.745	2.34
2	110	0.0276346	32	2.275	4.16	1.885
2	110	0.0268139	40	2.145	4.355	2.21
2	110	0.0259836	42	2.275	4.875	2.6
2	110	0.02803	36	2.405	5.07	2.665
2	110	0.0258646	32	2.405	4.095	1.69
2	110	0.0253515	40	2.015	4.03	2.015
2	110	0.0253096	56	2.015	5.59	3.575
2	110	0.0281447	24	2.665	4.29	1.625
2	110	0.028631	34	2.08	4.03	1.95
2	110	0.026573	42	2.08	4.55	2.47
2	110	0.0300148	32	2.145	4.16	2.015
2	110	0.0286614	36	2.015	4.225	2.21
2	110	0.0283575	36	2.08	4.16	2.08
2	110	0.0263505	40	2.145	4.42	2.275
2	110	0.0255221	38	2.21	4.355	2.145
2	110	0.028318	36	2.275	4.615	2.34
2	110	0.0271958	40	2.275	4.875	2.6
2	110	0.0308792	26	2.405	4.225	1.82
2	110	0.0258535	42	2.015	4.29	2.275
2	110	0.028056	38	2.145	4.485	2.34
2	120	0.0270767	40	1.82	4.095	2.275
2	120	0.0245235	48	1.885	4.42	2.535
2	120	0.0259044	42	2.21	4.875	2.665
2	120	0.0299123	24	2.47	4.095	1.625
