septum position,elongation rate (1/hour),initiation size per ori (micron),tau_cyc (minute),B period (minute),C period (minute),D period (minute),division size (micron),newborn size (micron),generation time (minute),added size (micron),cell width (micron),cell ID,daughter ID
0.4935,1.4211,1.0564,62,18,22,40,5.0067,2.7958,24,2.2109,0.6605,1170089,1170101
0.518,1.2928,1.2197,62,22,34,28,5.019,2.4709,32,2.5482,0.6503,1170101,1170117
0.5155,1.438,1.1701,72,22,24,48,6.4414,2.6,38,3.8414,0.6722,1170117,1170136
0.4815,1.4422,0.9913,68,24,30,38,5.6761,3.3207,22,2.3554,0.6573,1170136,1170147
0.5058,1.4209,0.8287,78,12,34,44,5.5258,2.7331,30,2.7927,0.6694,1170147,1170162
0.4803,1.4,1.2522,60,34,24,36,5.4146,2.6008,32,2.8138,0.6568,1178086,1178102
0.551,1.4435,1.3004,60,26,26,34,5.0851,2.6008,28,2.4843,0.656,1178102,1178116
0.4829,1.4446,1.2517,58,28,26,32,5.2927,2.8018,26,2.4909,0.6512,1178116,1178129
0.4708,1.454,1.2188,62,26,22,40,5.8053,2.5557,34,3.2496,0.6521,1178129,1178146
0.5139,1.4885,1.2679,58,24,22,36,4.8134,2.7331,22,2.0803,0.6104,1178146,1178157
0.3955,1.4035,1.1864,70,24,32,38,6.9027,3.2604,32,3.6423,0.6464,1200044,1200060
0.516,1.3717,1.4466,54,30,38,16,4.2996,2.73,20,1.5696,0.6442,1200060,1200070
0.4787,1.3293,1.6588,58,30,32,26,4.8883,2.2186,36,2.6697,0.6775,1200070,1200088
0.5135,1.4795,0.6733,54,10,28,26,4.8118,2.34,28,2.4718,0.6609,1200088,1200102
0.5206,1.418,1.17,64,36,32,32,6.0045,2.4709,36,3.5336,0.679,1200102,1200120
0.5278,1.4905,1.2512,62,30,22,40,6.2182,3.2506,26,2.9676,0.6653,1200135,1200148
0.5006,1.3261,1.1061,68,16,30,38,6.0229,3.2817,28,2.7412,0.6224,1200148,1200162
0.5455,1.3565,1.3388,62,20,22,40,5.7207,2.6847,32,3.0359,0.6539,1207136,1207152
0.5235,1.3882,0.8289,86,10,34,52,6.8695,3.1207,34,3.7488,0.6511,1207152,1207169
0.5397,1.4171,1.2025,58,22,28,30,4.961,2.6682,26,2.2928,0.6314,1214033,1214046
0.4747,1.4048,1.0725,62,22,32,30,5.2031,2.6777,28,2.5254,0.613,1214046,1214060
0.4929,1.5343,1.3388,60,26,22,38,5.6764,2.47,32,3.2064,0.6251,1214060,1214076
0.5057,1.3878,1.17,70,24,34,36,6.1818,2.798,34,3.3838,0.6454,1214076,1214093
0.5001,1.3213,1.3496,58,20,20,38,5.5908,2.8318,30,2.759,0.6357,1214147,1214162
0.4835,1.3945,1.0947,64,20,36,28,5.1104,2.6777,26,2.4327,0.6913,1222064,1222077
0.5102,1.3556,1.1728,64,22,26,38,5.2369,2.4709,32,2.7661,0.6742,1222077,1222093
0.498,1.3649,1.1231,70,22,34,36,5.8788,2.6721,34,3.2066,0.6935,1222093,1222110
0.5082,1.528,1.1055,62,26,30,32,5.1561,2.9279,22,2.2282,0.6939,1222110,1222121
0.5418,1.5208,1.0726,58,22,26,32,5.1086,2.6202,24,2.4883,0.6686,1222121,1222133
0.4738,1.3939,1.0889,58,16,26,32,5.4355,2.7677,28,2.6679,0.6748,1222133,1222147
0.4997,1.4545,1.073,64,20,30,34,5.593,2.5755,32,3.0175,0.6864,1222147,1222163
0.5288,1.4501,1.2679,66,16,24,42,6.7607,3.835,24,2.9257,0.7124,2018036,2018048
0.5324,1.3183,1.171,66,14,30,36,6.2694,3.575,26,2.6944,0.7337,2018048,2018061
0.5203,1.2629,1.3326,64,14,32,32,6.0173,3.3379,28,2.6794,0.7498,2018061,2018075
0.551,1.3011,1.3821,64,20,22,42,6.0211,3.1308,30,2.8903,0.7398,2018075,2018090
0.5568,1.1725,1.1705,68,18,40,28,5.9551,3.3175,28,2.6376,0.7665,2018090,2018104
0.5563,1.1602,1.2192,66,22,24,42,5.8612,3.3156,30,2.5456,0.8072,2018104,2018119
0.53,1.2113,1.7052,54,28,36,18,5.4091,2.7493,32,2.6599,0.8042,2018144,2018160
0.4947,1.304,1.3496,68,18,28,40,6.7333,3.3806,32,3.3527,0.6987,2025103,2025119
0.597,1.4098,1.2367,74,16,42,32,7.0975,3.3309,32,3.7666,0.6565,2025119,2025135
0.5346,1.3581,1.4791,62,26,38,24,7.3111,4.2375,24,3.0736,0.6389,2025135,2025147
0.5216,1.2369,2.1187,46,32,30,16,6.1682,3.9087,22,2.2596,0.7106,2025147,2025158
0.5014,1.4674,1.1548,64,28,34,30,4.8249,2.3409,30,2.484,0.6814,2032033,2032048
0.4993,1.3542,1.0824,66,24,28,38,5.104,2.419,32,2.685,0.7098,2032048,2032064
0.4927,1.6157,1.0563,66,26,30,36,5.5469,2.5483,30,2.9986,0.6908,2032064,2032079
0.4969,1.4771,0.8961,72,18,36,36,5.5008,2.7331,28,2.7677,0.717,2032079,2032093
0.5,1.3922,1.1051,66,22,38,28,5.4847,2.7331,30,2.7516,0.7394,2032093,2032108
0.4934,1.5073,1.0243,76,16,30,46,6.4773,2.7424,34,3.7349,0.7278,2032108,2032125
0.5101,1.4295,0.9924,68,16,20,48,5.366,2.6847,30,2.6813,0.7087,2032135,2032150
0.445,1.6457,1.1864,64,16,28,36,6.7257,2.737,30,3.9887,0.6724,2032150,2032165
0.4803,1.4714,1.0405,62,8,26,36,5.0091,2.4059,28,2.6032,0.7102,2076046,2076060
0.5178,1.4358,1.0401,68,16,26,42,5.399,2.4059,32,2.9931,0.6935,2076060,2076076
0.4757,1.3661,0.9431,74,18,40,34,6.0137,2.7958,32,3.218,0.7139,2076076,2076092
0.4792,1.407,1.1385,70,26,28,42,6.1275,2.8607,32,3.2668,0.7115,2076092,2076108
0.5204,1.4793,1.1385,68,22,28,40,5.7505,2.9365,26,2.814,0.7139,2076108,2076121
0.5041,1.4284,1.1213,78,20,30,48,7.865,2.9928,40,4.8722,0.6962,2076121,2076141
