septum position,elongation rate (1/hour),initiation size per ori (micron),tau_cyc (minute),B period (minute),C period (minute),D period (minute),division size (micron),newborn size (micron),generation time (minute),added size (micron),cell width (micron),cell ID,daughter ID
0.5522,0.4655,1.8891,93,57,72,21,4.3555,2.2754,62,2.0801,0.5508,1011030,1011055
0.5713,0.4356,1.887,117,57,87,30,4.8906,2.4043,82,2.4863,0.5757,1011055,1011088
0.519,0.4866,2.016,99,72,66,33,5.1367,2.7949,60,2.3418,0.5695,1011088,1011112
0.5005,0.5528,2.145,93,51,57,36,5.207,2.666,60,2.541,0.5882,1011112,1011136
0.5405,0.6342,1.7235,84,36,51,33,4.3867,2.6074,40,1.7793,0.5806,1011136,1011152
0.562,0.5968,1.7601,84,27,57,27,4.3047,2.373,52,1.9316,0.5715,1011152,1011173
0.5059,0.6313,1.755,93,45,57,36,5.1562,2.4199,62,2.7363,0.5725,1011173,1011198
0.5557,0.637,1.9175,84,42,54,30,5.2695,3.4609,32,1.8086,0.5438,1011227,1011240
0.5342,0.6382,1.758,90,39,66,24,4.7539,2.4121,55,2.3418,0.6165,1018038,1018060
0.4985,0.5474,1.7885,93,42,66,27,4.8242,2.5391,58,2.2852,0.5938,1018060,1018083
0.5083,0.5283,2.2445,93,45,66,27,5.1328,2.4707,68,2.6621,0.5765,1018163,1018190
0.5332,0.4608,2.08,99,57,69,30,4.7539,2.6074,62,2.1465,0.5823,1018190,1018215
0.5098,0.3057,1.9195,195,51,144,51,6.3828,2.666,127,3.7168,0.6168,1025128,1025179
0.543,0.573,1.625,180,42,99,81,5.9883,3.252,58,2.7363,0.62,1025179,1025202
0.5317,0.5346,1.4473,129,144,60,69,5.0117,3.252,42,1.7598,0.5594,1025202,1025219
0.5298,0.6223,1.625,96,3,72,24,4.2969,2.6641,40,1.6328,0.586,1025219,1025235
0.585,0.6683,3.315,66,129,48,18,5.2227,3.0254,42,2.1973,0.603,1033090,1033107
0.5454,0.5887,2.2425,78,39,57,21,5.7188,3.0547,55,2.6641,0.5977,1033107,1033129
0.5386,0.6103,2.4375,78,48,45,33,5.918,3.1211,50,2.7969,0.596,1033129,1033149
0.5557,0.4013,2.2425,96,33,69,27,5.2656,3.1875,58,2.0781,0.575,1033149,1033172
0.5469,0.5507,2.145,93,48,63,30,5.4688,2.9258,60,2.543,0.6174,1033172,1033196
0.5762,0.6046,2.082,90,42,57,33,5.5273,2.9922,50,2.5352,0.6171,1033196,1033216
0.5225,0.6211,1.9185,87,24,51,36,5.3516,3.1855,42,2.166,0.595,1033216,1033233
0.4849,0.5819,1.823,105,27,60,45,5.2305,2.6016,58,2.6289,0.5729,1040035,1040058
0.5122,0.668,1.9185,81,36,51,30,4.3164,2.5352,40,1.7812,0.592,1040058,1040074
0.5176,0.5771,1.7946,105,33,60,45,5.4023,2.2109,75,3.1914,0.5948,1040074,1040104
0.488,0.6491,1.8566,102,54,63,39,5.5938,2.7949,55,2.7988,0.5884,1040104,1040126
0.5054,0.6725,1.8566,96,30,45,51,5.4141,2.7305,50,2.6836,0.579,1040126,1040146
0.5669,0.4583,1.7885,111,24,75,36,4.8203,2.7363,62,2.084,0.5856,1040146,1040171
0.5146,0.5362,1.885,81,45,57,24,4.4219,2.7324,42,1.6895,0.5733,1040171,1040188
0.5361,0.493,1.9825,111,39,78,33,5.6094,2.2754,82,3.334,0.5856,1040188,1040221
0.5171,0.5172,1.8596,132,57,81,51,5.6797,2.3398,85,3.3398,0.5811,1047044,1047078
0.4919,0.7029,1.8525,99,54,63,36,5.2852,2.9375,42,2.3477,0.6196,1047078,1047095
0.5327,0.5238,1.7926,108,18,48,60,4.8789,2.6016,62,2.2773,0.6198,1047095,1047120
0.5176,0.6593,1.6575,123,27,69,54,5.9531,2.5996,62,3.3535,0.602,1047120,1047145
0.522,0.6195,1.6626,105,24,57,48,5.4805,3.0801,45,2.4004,0.582,1047145,1047163
0.5254,0.7044,1.823,87,18,57,30,5.0977,2.8613,42,2.2363,0.5774,1047163,1047180
0.5366,0.6537,1.8525,102,24,54,48,5.9531,2.6777,62,3.2754,0.5514,1047180,1047205
0.5361,0.6319,1.8555,105,30,48,57,6.082,3.1953,50,2.8867,0.5708,1047205,1047225
0.5073,0.4918,1.951,81,54,60,21,4.3555,2.7324,45,1.623,0.539,1055038,1055056
0.5459,0.4463,1.9825,129,48,87,42,5.7266,2.2109,102,3.5156,0.5695,1055056,1055097
0.5239,0.508,1.8525,114,78,54,60,5.6016,3.127,58,2.4746,0.6117,1055097,1055120
0.4878,0.6219,1.6605,114,9,72,42,5.0781,2.9375,45,2.1406,0.6252,1055120,1055138
0.5269,0.5934,1.693,108,12,51,57,4.8164,2.4785,55,2.3379,0.6197,1055138,1055160
0.5146,0.5241,1.628,123,27,51,72,5.2344,2.5391,70,2.6953,0.6061,1055160,1055188
0.5269,0.7058,1.365,123,15,81,42,4.9492,2.6934,45,2.2559,0.631,1055188,1055206
0.5381,0.7392,1.6585,84,18,51,33,4.6445,2.6074,40,2.0371,0.5802,1055206,1055222
0.5054,0.6845,1.626,96,36,66,30,5.168,2.6035,50,2.5645,0.5648,1069038,1069058
0.5293,0.7754,1.7885,81,30,51,30,5.0391,2.6133,42,2.4258,0.5726,1069058,1069075
0.5586,0.1835,1.7276,183,24,51,132,5.4688,2.666,130,2.8027,0.5454,1069075,1069127
0.5308,0.5393,1.9896,102,123,66,36,5.6211,3.0547,58,2.5664,0.571,1069127,1069150
0.5059,0.5784,2.2161,84,45,45,39,5.2773,2.9824,50,2.2949,0.5566,1069150,1069170
0.5522,0.5113,2.1816,81,39,54,27,4.3945,2.668,50,1.7266,0.5608,1069170,1069190
0.5371,0.5753,1.9185,90,45,51,39,4.9648,2.4277,62,2.5371,0.5753,1069190,1069215
0.5195,0.5159,1.5285,114,60,57,57,4.7539,3.1309,42,1.623,0.6339,1106178,1106195
0.5337,0.5677,1.7885,102,18,60,42,4.8789,2.4707,58,2.4082,0.6214,1106195,1106218
0.5474,0.5591,1.885,93,36,60,33,4.6328,2.6035,50,2.0293,0.625,1106218,1106238
0.54,0.4391,1.8555,102,63,60,42,4.6953,2.9609,58,1.7344,0.5869,1113040,1113063
0.5464,0.5076,1.886,120,39,78,42,5.4727,2.5352,75,2.9375,0.6069,1113063,1113093
0.5283,0.638,1.7875,93,51,60,33,5.3008,2.9902,45,2.3105,0.5776,1113093,1113111
0.5239,0.4377,1.886,87,21,60,27,4.1016,2.8027,45,1.2988,0.5764,1113111,1113129
0.52,0.4068,1.8525,105,39,87,18,4.25,2.1484,75,2.1016,0.6237,1113129,1113159
0.5068,0.504,1.823,105,69,63,42,4.4883,2.2109,70,2.2773,0.6112,1113159,1113187
0.4875,0.6378,1.7885,105,57,60,45,5.2031,2.2754,65,2.9277,0.6145,1113187,1113213
0.5103,0.6526,1.7875,96,42,54,42,4.8438,2.5352,50,2.3086,0.6061,1113213,1113233
0.5698,0.6088,1.9825,78,33,57,21,4.4492,2.3477,55,2.1016,0.5854,1120031,1120053
0.5464,0.4006,2.0881,114,60,69,45,5.3711,2.5352,90,2.8359,0.5974,1120053,1120089
0.5464,0.5463,2.08,108,72,75,33,5.5898,2.9375,60,2.6523,0.618,1120089,1120113
0.5405,0.5993,2.0495,81,42,57,24,4.8125,3.0566,42,1.7559,0.585,1120113,1120130
0.5464,0.5744,2.015,81,33,54,27,4.8789,2.5996,52,2.2793,0.5969,1120130,1120151
0.5,0.5487,1.95,99,42,60,39,5.5898,2.6641,65,2.9258,0.5999,1120151,1120177
0.408,0.6261,2.0536,141,45,54,87,8.4766,2.7949,90,5.6816,0.6152,1120177,1120213
0.502,0.5993,2.1125,87,33,48,39,5.1055,2.2832,62,2.8223,0.599,1128024,1128049
0.5044,0.5803,2.1186,87,60,57,30,5.0273,2.5645,60,2.4629,0.596,1128049,1128073
0.4673,0.6399,1.885,75,51,51,24,4.3125,2.5352,45,1.7773,0.5495,1128073,1128091
0.522,0.5054,1.7875,90,42,69,21,4.082,2.0156,65,2.0664,0.5835,1128091,1128117
0.5498,0.5945,1.693,81,63,51,30,3.9023,2.1289,55,1.7734,0.5959,1128117,1128139
0.5415,0.5332,1.885,72,57,54,18,3.9707,2.1465,52,1.8242,0.5235,1128139,1128160
0.5977,0.5729,1.885,84,57,51,33,4.5703,2.1484,65,2.4219,0.5764,1128160,1128186
0.4797,0.5351,1.8251,96,54,66,30,4.7031,2.7305,60,1.9727,0.5997,1128186,1128210
0.4998,0.5402,1.5955,231,57,156,75,5.4648,3.2656,48,2.1992,0.6696,1135094,1135113
0.5264,0.649,1.43,126,216,81,45,4.7188,2.7305,45,1.9883,0.6399,1135113,1135131
0.5142,0.5101,1.495,114,12,78,36,4.5547,2.4844,60,2.0703,0.6536,1135131,1135155
0.541,0.635,1.5935,123,30,72,51,5.6797,2.3418,67,3.3379,0.659,1135155,1135182
0.5054,0.4599,1.5955,135,33,69,66,5.9375,3.0723,72,2.8652,0.6639,1135182,1135211
0.5049,0.3799,2.1775,138,42,87,51,5.8164,2.4707,110,3.3457,0.6015,1142031,1142075
0.5669,0.5506,2.1186,105,93,69,36,5.3555,2.9375,55,2.418,0.6352,1142075,1142097
0.541,0.6251,1.758,90,24,57,33,4.832,3.0352,40,1.7969,0.6252,1142097,1142113
0.5488,0.535,1.8525,90,21,60,30,4.5039,2.6133,52,1.8906,0.6272,1142113,1142134
0.4934,0.5833,1.952,84,51,57,27,5.0117,2.4727,60,2.5391,0.6343,1142134,1142158
0.5811,0.4988,1.952,102,51,75,27,5.2773,2.4727,67,2.8047,0.6169,1142158,1142185
0.5527,0.581,2.1125,108,51,63,45,6.043,3.0664,65,2.9766,0.6051,1142185,1142211
0.5151,0.6233,1.886,105,33,57,48,6.3398,3.3379,50,3.002,0.6171,1142211,1142231
0.5181,0.5785,1.821,96,45,72,24,5.2734,2.3438,68,2.9297,0.6582,1150034,1150061
0.5596,0.6271,2.1145,75,63,60,15,5.0195,2.7305,47,2.2891,0.6421,1150061,1150080
0.5732,0.54,1.95,96,39,63,33,5.5586,2.8066,65,2.752,0.6279,1150080,1150106
0.5278,0.276,2.147,186,48,156,30,6.9219,3.1855,130,3.7363,0.6521,1150106,1150158
0.5249,0.5721,2.1186,156,60,102,54,6.6055,3.6543,50,2.9512,0.6292,1150158,1150178
0.5342,0.5061,1.8271,117,0,54,63,5.7227,3.4668,48,2.2559,0.6179,1150178,1150197
0.5479,0.555,1.886,120,12,78,42,5.9609,3.0586,62,2.9023,0.6241,1150197,1150222
0.5288,0.4807,1.431,132,12,114,18,4.4258,2.0898,72,2.3359,0.6264,1172068,1172097
0.5171,0.5619,1.9825,93,72,66,27,4.7578,2.3418,65,2.416,0.6199,1172097,1172123
0.5151,0.2145,1.8535,237,51,159,78,6.1875,2.4609,175,3.7266,0.6349,1172123,1172193
0.5439,0.5356,1.5925,216,54,138,78,5.3438,3.1875,50,2.1562,0.6361,1172193,1172213
0.5469,0.5419,1.885,96,39,69,27,4.8789,2.6035,58,2.2754,0.6834,1186040,1186063
0.5015,0.4294,1.886,93,45,63,30,4.5664,2.668,57,1.8984,0.5882,1186063,1186086
0.521,0.349,1.885,192,51,84,108,6.2539,2.2891,145,3.9648,0.6797,1186086,1186144
0.5293,0.4594,1.4686,207,39,132,75,5.6797,3.2559,60,2.4238,0.6541,1186144,1186168
0.5527,0.4006,1.6585,150,3,102,48,4.9414,3.0078,68,1.9336,0.6006,1186168,1186195
0.5059,0.4591,1.6626,156,24,108,48,5.5273,2.7305,82,2.7969,0.627,1186195,1186228
0.5312,0.5986,1.9185,114,15,63,51,6.1758,2.7949,62,3.3809,0.645,1193023,1193048
0.5229,0.6456,1.7377,114,18,57,57,5.8633,3.2812,47,2.582,0.6143,1193048,1193067
0.5347,0.3515,1.8251,204,9,72,132,8.1484,3.0664,130,5.082,0.6644,1193067,1193119
0.5366,0.4536,1.9866,192,27,114,78,7.0273,4.3555,52,2.6719,0.6707,1193119,1193140
0.5361,0.5816,1.6738,150,120,93,57,6.1875,3.7715,43,2.416,0.6268,1193140,1193157
0.502,0.6002,1.7073,105,60,60,45,5.5352,3.3184,42,2.2168,0.6487,1193157,1193174
0.5674,0.5607,1.7662,111,9,63,48,5.4141,2.7793,58,2.6348,0.6437,1193174,1193197
0.562,0.6212,1.7926,93,30,57,36,5.2031,3.0723,45,2.1309,0.6248,1193197,1193215
0.5015,0.5357,1.95,99,27,69,30,5.5,2.9258,60,2.5742,0.6344,1193215,1193239
