septum position,elongation rate (1/hour),initiation size per ori (micron),tau_cyc (minute),B period (minute),C period (minute),D period (minute),division size (micron),newborn size (micron),generation time (minute),added size (micron),cell width (micron),cell ID,daughter ID
0.5522,0.9175,2.7625,48,78,33,15,6.2422,3.1855,45,3.0566,0.5784,1004145,1004160
0.5239,0.8571,1.755,75,3,42,33,5.332,2.9258,42,2.4062,0.5771,1004172,1004186
0.5811,0.6426,1.7875,75,15,30,45,4.8164,2.7949,48,2.0215,0.569,1004186,1004202
0.5352,0.8889,1.823,75,24,39,36,5.5977,2.7988,51,2.7988,0.56,1004202,1004219
0.5659,0.9125,1.755,63,21,39,24,4.9414,2.9961,33,1.9453,0.5752,1004219,1004230
0.5298,0.9073,1.7875,54,15,30,24,4.5625,2.7949,36,1.7676,0.5675,1004230,1004242
0.4939,0.9895,1.5976,60,15,33,27,4.7656,2.4199,39,2.3457,0.5518,1004242,1004255
0.5234,0.5817,2.1125,84,30,54,30,5.2148,2.3535,75,2.8613,0.5735,1004255,1004280
0.5308,0.7797,1.821,72,39,36,36,5.1445,2.4727,57,2.6719,0.6038,1012036,1012055
0.5181,0.8851,1.7255,69,27,30,39,5.0195,2.7305,39,2.2891,0.5933,1012055,1012068
0.5156,0.9125,1.6605,60,12,36,24,4.293,2.5996,33,1.6934,0.5595,1012068,1012079
0.5376,0.7383,1.755,69,18,42,27,4.5,2.2129,54,2.2871,0.5471,1012079,1012097
0.5439,0.8002,1.6605,63,33,36,27,4.1953,2.4199,42,1.7754,0.5616,1012097,1012111
0.5122,0.7828,1.9185,63,36,39,24,4.6953,2.2832,57,2.4121,0.5864,1012111,1012130
0.5352,0.8916,1.9195,75,39,36,39,5.4688,2.4062,57,3.0625,0.5781,1012130,1012149
0.5161,0.8747,1.5305,60,21,33,27,4.1719,2.9258,24,1.2461,0.5807,1012149,1012157
0.5317,0.8377,1.691,60,9,33,27,4.0352,2.1543,45,1.8809,0.5872,1012157,1012172
