septum position,elongation rate (1/hour),initiation size per ori (micron),tau_cyc (minute),B period (minute),C period (minute),D period (minute),division size (micron),newborn size (micron),generation time (minute),added size (micron),cell width (micron),cell ID,daughter ID
0.4419,0.4392,1.5654,70,55,35,35,2.795,1.1718,125,1.6232,0.5555,1138036,1138061
0.4594,0.5218,1.1718,80,15,50,30,2.5507,1.235,95,1.3157,0.5582,1138061,1138080
0.4543,0.4792,1.43,75,40,40,35,2.8614,1.1772,115,1.6842,0.5671,1138143,1138166
0.4741,0.4747,1.495,65,20,45,20,2.4718,1.3,85,1.1718,0.5596,1138166,1138183
0.5238,0.4851,1.4315,75,25,50,25,2.7331,1.1718,100,1.5613,0.5602,1138183,1138203
0.4547,0.3216,1.8861,70,50,50,20,3.0017,1.43,120,1.5717,0.5189,1160029,1160053
0.5258,0.416,1.4315,70,35,55,15,2.6079,1.365,105,1.2429,0.5454,1160053,1160074
0.491,0.3315,2.0317,60,65,45,15,2.9396,1.43,125,1.5096,0.5088,1160184,1160209
0.511,0.3513,1.7562,70,20,50,20,2.9365,1.7012,90,1.2353,0.5465,1168050,1168068
0.4854,0.3666,1.8895,75,45,45,30,2.9489,1.5006,120,1.4483,0.5578,1168068,1168092
0.4654,0.3814,1.6263,70,35,50,20,2.8071,1.4315,105,1.3756,0.6099,1168092,1168113
0.5641,0.3687,1.4964,75,35,55,20,2.535,1.3065,110,1.2285,0.5773,1168113,1168135
0.49,0.4723,1.7598,65,45,40,25,3.1864,1.43,110,1.7564,0.5955,1168135,1168157
0.4991,0.4551,1.695,80,5,50,30,3.1254,1.5614,85,1.5641,0.5664,1168157,1168174
0.487,0.4022,1.625,70,15,50,20,2.6728,1.56,85,1.1128,0.586,1168174,1168191
0.5013,0.342,1.5654,90,45,55,35,2.8791,1.3016,135,1.5775,0.6057,1168191,1168218
0.4747,0.4187,1.5614,80,30,45,35,2.8886,1.43,110,1.4586,0.5671,1175065,1175087
0.4767,0.3702,1.56,80,30,50,30,2.7578,1.3712,110,1.3866,0.5654,1175087,1175109
0.5248,0.367,1.7562,70,60,50,20,2.613,1.3145,130,1.2985,0.5606,1175109,1175135
0.5372,0.2918,1.6912,80,45,50,30,2.5437,1.3712,125,1.1726,0.5635,1175135,1175160
0.5235,0.3236,1.6912,85,50,55,30,2.7316,1.3665,135,1.3651,0.5692,1175160,1175187
0.5041,0.3357,1.5614,85,35,55,30,2.8834,1.43,120,1.4534,0.5677,1175187,1175211
0.5227,0.2734,1.8861,80,80,50,30,2.86,1.3145,160,1.5455,0.5156,1183042,1183074
0.4884,0.3774,1.625,75,25,50,25,2.798,1.495,100,1.303,0.5036,1183074,1183094
0.456,0.3278,1.82,70,60,45,25,2.9967,1.3665,130,1.6302,0.5018,1183094,1183120
0.4878,0.3753,1.625,80,35,55,25,2.6682,1.3665,115,1.3016,0.4965,1183120,1183143
0.4442,0.358,1.56,75,50,55,20,2.9263,1.3016,125,1.6247,0.5017,1183143,1183168
0.4855,0.3107,1.495,90,35,75,15,2.4136,1.3,125,1.1136,0.5172,1183168,1183193
0.5272,0.35,1.755,65,40,40,25,2.6156,1.4359,105,1.1797,0.5823,1191030,1191051
0.4772,0.461,1.5614,70,30,40,30,2.738,1.3789,100,1.3591,0.5702,1191051,1191071
0.5009,0.4253,1.5614,70,35,55,15,2.6081,1.3065,105,1.3016,0.5731,1191071,1191092
0.5258,0.3466,1.5654,80,50,55,25,2.6079,1.3065,130,1.3014,0.5651,1191092,1191118
0.4648,0.343,1.5614,80,45,55,25,2.6718,1.3712,125,1.3006,0.5658,1191118,1191143
0.5139,0.3889,1.5654,70,30,50,20,2.4067,1.2418,100,1.1649,0.5831,1191143,1191163
0.5333,0.4561,1.755,55,60,40,15,2.9279,1.2367,115,1.6912,0.6065,1191163,1191186
0.4875,0.498,1.8212,65,30,45,20,3.3362,1.5614,95,1.7748,0.5804,1191186,1191205
0.443,0.3598,1.885,60,50,50,10,2.8224,1.3665,110,1.4559,0.5476,1198033,1198055
0.4979,0.3077,1.7658,85,65,55,30,3.0027,1.2503,150,1.7524,0.5606,1198055,1198085
0.4616,0.3616,1.625,60,40,45,15,2.5384,1.495,100,1.0434,0.5672,1198085,1198105
0.4855,0.3371,1.9543,75,75,40,35,3.1255,1.1718,150,1.9536,0.5535,1198105,1198135
0.5234,0.2983,1.6263,85,40,55,30,2.8672,1.5174,125,1.3497,0.5554,1198135,1198160
0.5,0.3368,1.7562,70,50,50,20,2.7331,1.5006,120,1.2325,0.5673,1198160,1198184
0.5118,0.3603,1.69,75,45,55,20,2.9321,1.3665,120,1.5656,0.5631,1198184,1198208
0.4863,0.3825,1.495,85,30,50,35,2.5432,1.2367,115,1.3065,0.5313,1206042,1206065
0.5015,0.3584,1.5654,65,40,45,20,2.3472,1.2367,105,1.1105,0.5164,1206065,1206086
0.4872,0.3177,1.5721,80,55,55,25,2.535,1.1772,135,1.3578,0.5193,1206086,1206113
0.5,0.3488,1.5654,85,30,55,30,2.6032,1.235,115,1.3682,0.5407,1206113,1206136
0.4895,0.4001,1.5614,70,45,45,25,2.8012,1.3016,115,1.4996,0.5346,1206136,1206159
0.5212,0.3676,1.5614,85,20,60,25,2.769,1.3712,105,1.3978,0.5175,1206159,1206180
0.5033,0.3728,1.5721,70,30,45,25,2.7607,1.4432,100,1.3175,0.5179,1206180,1206200
0.5,0.3377,1.5654,75,50,60,15,2.5006,1.3665,125,1.1341,0.5027,1213113,1213138
0.5105,0.3261,1.7562,65,100,55,10,2.6857,1.2503,165,1.4354,0.5165,1213138,1213171
0.4281,0.3194,1.4964,95,45,75,20,2.7372,1.365,140,1.3722,0.5363,1221038,1221066
