septum position,elongation rate (1/hour),initiation size per ori (micron),tau_cyc (minute),B period (minute),C period (minute),D period (minute),division size (micron),newborn size (micron),generation time (minute),added size (micron),cell width (micron),cell ID,daughter ID
0.5034,0.1711,1.9673,147,112,56,91,3.1113,1.5176,259,1.5938,0.7382,1011059,1011096
0.4888,0.2385,1.8302,147,42,84,63,3.3672,1.5654,189,1.8018,0.7049,1011096,1011123
0.498,0.2246,1.9602,112,77,63,49,3.0469,1.6455,189,1.4014,0.678,1011123,1011150
0.4797,0.3316,1.625,168,77,70,98,3.6582,1.96,112,1.6982,0.696,1063126,1063142
0.4707,0.3105,1.755,133,0,84,49,3.3145,1.7549,133,1.5596,0.6535,1063142,1063161
0.4878,0.2462,1.8383,154,70,84,70,3.7344,1.5596,224,2.1748,0.662,1063161,1063193
0.5063,0.1434,1.9602,287,126,154,133,3.9824,1.5615,413,2.4209,0.6963,1070072,1070131
0.4817,0.1675,2.3481,147,77,70,77,4.1836,2.0156,224,2.168,0.6638,1070131,1070163
0.4683,0.3414,1.7875,126,203,56,70,3.6191,2.0156,105,1.6035,0.6687,1070163,1070178
0.4783,0.2958,1.56,147,133,70,77,3.125,1.5615,140,1.5635,0.6695,1077118,1077138
0.4463,0.3141,1.7103,119,14,63,56,3.0625,1.4951,133,1.5674,0.618,1077138,1077157
0.4595,0.2521,1.8302,147,49,84,63,3.2559,1.3662,196,1.8896,0.5789,1077157,1077185
0.4995,0.2815,1.7662,133,14,98,35,3.3867,1.626,147,1.7607,0.5993,1084109,1084130
0.4912,0.2809,1.756,119,21,70,49,3.0684,1.6914,140,1.377,0.6176,1084130,1084150
0.5088,0.2198,2.0485,161,266,42,119,3.707,2.2188,140,1.4883,0.6993,1092073,1092093
0.5107,0.2625,1.7601,140,14,70,70,3.3203,1.8848,154,1.4355,0.6644,1092093,1092115
0.5322,0.2846,2.0312,126,63,63,63,3.793,1.6953,189,2.0977,0.6091,1092115,1092142
0.5513,0.145,2.275,203,42,119,84,3.791,2.0801,245,1.7109,0.6142,1128143,1128178
0.5352,0.2072,2.1491,140,42,84,56,3.4023,1.8301,182,1.5723,0.6757,1150048,1150074
0.5557,0.2077,2.0881,140,42,84,56,3.3945,1.8203,182,1.5742,0.6715,1150074,1150100
0.5073,0.1635,2.2892,154,91,105,49,3.8633,1.8857,245,1.9775,0.6484,1150100,1150135
0.5146,0.2238,2.3542,133,63,77,56,4.0391,1.96,196,2.0791,0.6564,1150135,1150163
0.5342,0.273,2.2791,105,28,63,42,3.7793,2.0801,133,1.6992,0.6534,1150163,1150182
0.5093,0.3276,1.6605,126,224,63,63,2.9395,2.084,70,0.8555,0.7357,1165056,1165066
0.5039,0.3025,1.9033,119,70,70,49,3.75,1.4961,189,2.2539,0.7318,1165066,1165093
0.5249,0.3665,1.886,105,7,49,56,3.5996,1.8896,112,1.71,0.6832,1165093,1165109
0.5078,0.2844,2.0881,126,28,70,56,3.8496,1.8896,154,1.96,0.6774,1165109,1165131
0.4822,0.3296,1.9541,112,0,63,49,3.6406,1.9541,112,1.6865,0.6488,1165131,1165147
0.5225,0.2884,1.8952,119,21,84,35,3.2715,1.7549,140,1.5166,0.6789,1165147,1165167
0.5156,0.2847,2.0841,126,63,77,49,4.0352,1.71,189,2.3252,0.7003,1165167,1165194
0.5088,0.2236,1.8555,175,168,84,91,3.4512,2.1172,147,1.334,0.6369,1172042,1172063
0.5225,0.2308,2.0241,140,56,77,63,3.7363,1.7559,196,1.9805,0.6331,1172063,1172091
0.519,0.2726,2.0312,133,28,70,63,3.7891,1.9512,161,1.8379,0.6079,1172091,1172114
0.5659,0.2092,2.34,161,49,105,56,4.2578,1.9668,210,2.291,0.6057,1172114,1172144
0.5327,0.2557,2.0191,140,196,63,77,4.043,2.4082,126,1.6348,0.5653,1172144,1172162
0.5425,0.2022,2.5431,119,63,63,56,3.8379,2.1543,182,1.6836,0.5621,1172162,1172188
0.5161,0.2141,2.47,133,70,84,49,4.0508,2.0195,203,2.0312,0.6848,1187029,1187058
0.5571,0.1522,2.5553,231,70,147,84,4.5586,2.0898,301,2.4688,0.6602,1187058,1187101
0.4912,0.1141,1.9124,525,91,315,210,4.7695,1.4316,616,3.3379,0.6618,1194045,1194133
0.4922,0.1378,2.47,245,14,133,112,4.3594,2.3438,259,2.0156,0.6718,1194133,1194170
0.4617,0.2329,2.08,126,21,84,42,3.3828,1.96,147,1.4229,0.7057,1201058,1201079
0.4836,0.2141,2.3481,119,119,84,35,3.6523,1.5615,238,2.0908,0.6768,1201079,1201113
0.448,0.1838,2.4903,119,105,84,35,3.7754,1.7656,224,2.0098,0.6168,1201113,1201145
0.4822,0.2366,2.2263,126,42,77,49,3.5156,1.8213,168,1.6943,0.6716,1216050,1216074
0.502,0.2464,1.8302,154,21,98,56,3.5332,1.6953,175,1.8379,0.6571,1216074,1216099
0.478,0.2474,1.886,154,14,91,63,3.4434,1.7744,168,1.6689,0.7274,1216099,1216123
0.5225,0.21,2.0526,140,77,84,56,3.5391,1.6455,217,1.8936,0.6906,1216123,1216154
0.4902,0.3121,1.9124,126,14,77,49,3.8438,1.8486,140,1.9951,0.679,1216154,1216174
0.5303,0.2986,2.0241,105,14,70,35,3.332,1.8848,119,1.4473,0.6339,1216174,1216191
0.5215,0.1852,1.756,210,77,77,133,3.8633,2.3086,161,1.5547,0.7768,1223059,1223082
0.5088,0.22,2.015,168,0,77,91,3.6328,2.0156,168,1.6172,0.7773,1223082,1223106
