septum position,elongation rate (1/hour),initiation size per ori (micron),tau_cyc (minute),B period (minute),C period (minute),D period (minute),division size (micron),newborn size (micron),generation time (minute),added size (micron),cell width (micron),cell ID,daughter ID
0.5249,0.9932,1.3325,82,20,40,42,5.2146,1.6912,66,3.5234,0.5965,1018032,1018065
0.479,0.9314,1.3654,58,36,44,14,3.5285,1.8304,40,1.6981,0.6095,1101032,1101052
0.4652,0.9293,1.4982,60,32,30,30,3.7754,1.69,52,2.0854,0.6086,1101052,1101078
0.4388,0.9042,1.4009,54,36,42,12,3.2619,1.7562,38,1.5057,0.5863,1101078,1101097
0.5098,0.9282,1.5278,60,34,40,20,3.5902,1.4315,56,2.1587,0.6127,1101097,1101125
0.4907,0.9128,1.4625,56,44,42,14,3.467,1.8304,44,1.6366,0.6175,1101125,1101147
0.4667,0.9303,1.495,60,36,38,22,3.9022,1.7012,52,2.201,0.612,1101147,1101173
0.5294,0.8476,1.4683,54,38,38,16,3.315,1.8212,40,1.4938,0.6101,1101173,1101193
0.509,0.9367,1.3341,56,30,36,20,3.5844,1.755,46,1.8294,0.6093,1101193,1101216
0.4595,0.9212,1.5306,62,30,36,26,3.9706,1.8895,50,2.0811,0.6265,1109032,1109057
0.5622,0.8623,1.2692,60,26,44,16,3.1215,1.8246,36,1.2969,0.6352,1109057,1109075
0.4926,0.9611,1.755,60,36,36,24,4.3628,1.755,60,2.6078,0.6314,1109075,1109105
0.541,0.9916,1.5654,54,42,36,18,3.8468,2.1489,36,1.6979,0.6081,1109105,1109123
0.4917,1.0177,1.4982,56,22,36,20,4.1001,2.081,42,2.0191,0.5987,1109123,1109144
0.4643,0.9323,1.4964,56,28,42,14,3.6423,2.016,42,1.6263,0.5742,1109144,1109165
0.4815,0.9175,1.563,64,34,42,22,3.7797,1.6912,56,2.0885,0.6088,1109165,1109193
0.5173,0.828,1.4035,62,42,34,28,3.6459,1.82,48,1.8259,0.6066,1109193,1109217
0.483,0.9439,1.4035,64,36,42,22,3.9053,1.82,54,2.0853,0.5808,1124036,1124063
0.5,0.9931,1.4625,56,38,36,20,3.5196,1.8861,40,1.6335,0.5546,1124063,1124083
0.4844,1.0173,1.5925,52,22,32,20,4.0343,2.1489,38,1.8854,0.5734,1139029,1139048
0.5092,1,1.6903,52,26,34,18,3.9755,1.9543,40,2.0212,0.5545,1139048,1139068
0.519,0.9701,1.5978,48,28,30,18,3.6513,2.0244,36,1.6268,0.5618,1139068,1139086
0.4924,0.856,1.6253,62,30,36,26,4.356,1.8951,56,2.4609,0.5646,1139086,1139114
0.4833,0.9716,1.56,64,36,38,26,4.1688,2.145,44,2.0238,0.5729,1139114,1139136
0.5018,0.9537,1.56,64,26,34,30,4.1772,2.015,46,2.1622,0.5696,1139136,1139159
0.4833,0.9123,1.2354,70,14,36,34,3.9,2.0962,38,1.8038,0.5593,1139159,1139178
0.4763,0.9813,1.4982,64,20,36,28,3.9791,1.885,46,2.0941,0.5821,1139178,1139201
0.508,1.0247,1.3979,62,24,38,24,3.8406,1.8951,40,1.9455,0.5748,1139201,1139221
0.5187,0.985,1.4035,54,22,42,12,3.6686,1.885,38,1.7836,0.5649,1154127,1154146
0.5239,0.8801,1.5603,56,32,36,20,4.096,1.9028,50,2.1931,0.5759,1154146,1154171
0.5078,0.9478,1.5938,56,34,30,26,3.9704,2.146,40,1.8244,0.5595,1154171,1154191
0.4826,0.9924,1.5938,56,28,32,24,4.1757,2.016,44,2.1597,0.573,1154191,1154213
0.5264,0.9427,1.5928,56,30,34,22,3.8456,1.8304,48,2.0152,0.5405,1161155,1161179
0.5178,0.9544,1.6263,46,40,32,14,3.6423,2.0244,38,1.6179,0.5365,1161179,1161198
0.481,0.9799,1.5938,46,30,30,16,3.5159,1.8861,38,1.6298,0.5421,1161198,1161217
0.5555,0.9051,1.4964,50,28,30,20,3.5124,2.2138,34,1.2986,0.5801,1169026,1169043
0.4779,0.8657,1.5925,50,34,38,12,3.2753,1.695,42,1.5803,0.5295,1176056,1176077
0.5214,0.9579,1.3037,56,32,40,16,3.6239,1.5654,46,2.0585,0.5449,1176077,1176100
0.493,1.0667,1.3329,50,36,38,12,3.5988,1.8895,40,1.7093,0.5528,1176100,1176120
0.5319,0.8045,1.6253,64,32,42,22,3.7902,1.7742,56,2.016,0.5507,1176120,1176148
0.4665,0.8668,1.5603,60,40,38,22,3.901,2.016,44,1.885,0.5528,1176148,1176170
0.4897,1.0889,1.43,48,28,30,18,3.3213,1.82,32,1.5013,0.5453,1176170,1176186
