,exp_type,experiment,frac_gene,gene,trial
0,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724785,EcolC_1400,1.0
1,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724785,aat,1.0
2,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724785,accA,1.0
3,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724785,accB,1.0
4,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724785,accC,1.0
5,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724785,accD,1.0
6,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724785,aceA,1.0
7,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724785,aceB,1.0
8,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724785,aceE,1.0
9,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724785,aceF,1.0
10,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724785,ackA,1.0
11,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724785,acnA,1.0
12,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724785,acnB,1.0
13,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724785,acpP,1.0
14,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724785,acrA,1.0
15,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724785,acrB,1.0
16,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724785,acs,1.0
17,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724785,actP,1.0
18,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724785,adhE,1.0
19,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724785,adk,1.0
20,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724785,aer,1.0
21,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724785,agp,1.0
22,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724785,ahpC,1.0
23,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724785,ahpF,1.0
24,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724785,ais,1.0
25,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724785,alaS,1.0
