gene_name
aceF
acrB
adhE
adk
ais
alaS
argA
argB
argC
argD
argE
argG
argH
argI
argR
aroA
aroC
aroD
aroG
artJ
asd
asnA
asnB
bcp
bioB
btuB
can
carB
cfa
clpP
cmk
coaBC
crl
crr
cueO
cysE
cysS
dapB
dapD
ddlB
dhaK
dhaL
dld
dps
eda
engB
eno
fabD
fabI
fbaA
fbaB
flgI
folE
fre
frsA
galK
galU
gapA
gcvP
gcvT
glgB
glgP
glmU
glnA
glnG
glnQ
glpF
glpX
glyA
gnd
gor
gpmA
grcA
gshA
gsp
guaC
hemC
hemL
hemN
hflB
hflK
hisA
hisB
hisC
hisD
hisF
hisG
hisH
hisI
hisJ
hisP
hldD
hldE
htpX
iciA
ilvA
ilvE
ilvG
imp
iscX
kdpD
kdsA
kdsD
lacI
leuA
leuC
leuD
lgt
lipB
lolA
lolD
lpxD
luxS
lysC
mak
manZ
metG
metH
metK
mfd
modE
mrp
msyB
mtlD
mukB
murD
nadB
nadE
narL
nfnB
nrdA
nusB
ompA
ompT
oppF
orn
osmY
panC
panD
pdxB
pfkB
pflA
pgi
pgk
pheA
pheS
pheT
pntA
pntB
ppc
ppiA
ppiB
ppk
prc
prlC
proA
proX
ptrA
ptsI
purA
qor
raiA
rcsF
relA
rffA
rimM
rng
rof
rpiA
rpoC
rpoN
selB
serA
serC
serS
slmA
sohB
solA
speA
talB
tetR
thiB
thiC
thiD
thiE
thiF
thiG
thiJ
thiM
thrA
tktB
tolB
tpiA
trpS
trxA
tyrS
ubiE
xthA
yagU
ybbN
ybgJ
ybiC
ybiS
ycaC
ycbY
yceI
ycfD
ycgK
yciK
ydcF
yeaG
yejL
yfbT
yfcD
yfcL
yfeX
yfeY
yfgM
yfiO
ygaD
ygaU
yggE
yggL
yggX
ygiW
yhbH
yhfA
yidA
yieF
yihD
yjhC
yjiA
yliJ
yniC
yoaB
yqgE
yqhD
yraL
yrbC
ytfP
zwf
