gene_name
accA
aceE
ackA
acpP
ahpF
allR
arcA
argS
arnB
arnC
aroB
artI
aspS
avtA
clpX
copA
cusR
cyoA
cysK
cysP
dacC
damX
dcyD
dksA
dnaN
dppA
dppD
dut
elbB
engA
erpA
fabB
fabF
fabG
fabH
fadR
fnr
folD
frmA
ftsH
ftsY
fur
ghrA
glnH
gltX
gmhA
gpmI
grxD
gst
gyrA
hemX
hfq
hinT
hns
hpt
hslV
ihfA
ileS
ilvD
infC
iscR
ispG
kdpA
kdpC
kdsC
leuB
lon
lptD
ltaE
map
mdoG
metC
metI
metJ
metL
metN
mioC
mipA
moeA
msbA
mscS
mtnN
mukE
murA
murE
nagZ
ndh
nfsA
nfuA
nuoA
nuoB
nuoC
nuoG
nusG
ompF
ompX
oxyR
pckA
pepA
pepB
pfkA
phoP
pifC
pncB
pnp
polA
potF
ppiD
prfA
proB
pspA
ptsN
pyrF
rcsB
rdgB
ribE
rpoA
rpoB
rraA
secA
secB
secD
selD
slyB
slyD
smpA
sodB
sspA
surA
thrC
tolC
tolQ
topA
traT
trmJ
trxC
tsx
typA
usg
wzzB
yajG
ybdH
ybgF
ybiT
ycdY
yceH
ycfP
ydgA
ydjN
yeeX
yeeZ
yfcB
yfgL
yfiF
ygfB
ygfY
ygiF
yhbJ
yhbY
yhcB
yhjJ
yiaF
yibL
yifE
yifL
yjgA
ynfB
yohN
yraM
yraP
yrbB
yrbD
yrbF
zapB
zipA
