gene_name
aceA
aceB
acnA
acnB
acrA
actP
agp
ahpC
amn
argT
arnA
aspC
atpC
basR
bfr
bglA
bglX
btuE
btuR
cheB
clpA
clpB
cpxR
crp
cspD
cydA
dapA
dcp
dcrB
degP
degQ
deoB
deoC
dppC
ecnB
elaB
fadA
fadB
fadD
fadE
fadL
fkpA
folX
ftnA
ftsA
ftsZ
fumC
gabT
ghrB
glgA
glk
glmM
glnB
glpK
gltA
gltI
gltL
gnsB
grxB
grxC
gshB
hflC
hflX
hsdR
hupA
hupB
icd
ilvB
ilvH
ilvI
ilvM
ilvN
iraP
ispF
katE
katG
kdpB
ldhA
livJ
lldD
lpdA
lpp
lptB
lpxA
lrp
mdh
metA
metB
metQ
mgsA
minD
minE
moaC
msrB
mtfA
mug
nagD
narP
nlpB
nrdB
nuoF
ompR
oppA
oppD
osmC
osmE
pcnB
pdxH
pdxJ
pdxK
pepD
pepN
pepP
pepQ
pflB
pgl
pgm
pmbA
potD
psd
pssA
pta
putP
pykA
pyrB
pyrC
rbsA
rbsB
recA
rnr
rpe
rpoD
rsgA
sfcA
skp
slyA
sopB
talA
tas
thrB
thyA
trxB
tyrB
udp
ushA
uspA
uspE
uspF
uspG
wrbA
yaeH
yaeT
yahK
yahO
yaiE
ybeD
ybeZ
ybgI
ybiB
ychN
ydcL
ydfG
ydgH
yfbU
yfgA
ygdH
ygfZ
ygiM
yhbS
yicC
yjeI
yncE
yqjD
ysgA
ytfQ
