gene_name
accB
accC
apaH
aroF
asnS
atpB
atpE
atpH
carA
cirA
cmoA
codA
cusA
cusB
cyoB
cysA
cysC
cysD
cysH
cysI
cysJ
cysN
dacA
dhaM
dnaK
dsbA
dxs
efp
engD
entE
era
exbB
fbp
fiu
fklB
fkpB
fldA
fliL
fmt
folP
galE
galM
galT
gcp
glmS
glnS
gltB
gltD
glyS
gmk
gsiB
guaA
guaB
gyrB
hemB
hexR
hisS
hslU
ilvC
ispB
ispH
leuS
lipA
livF
lysA
lysU
manX
mdoD
metE
mnmA
modF
motB
mprA
mrcA
nifU
nudE
oxaA
parC
parE
ppa
ppiC
ppx
proS
prs
ptsG
ptsH
purB
purC
purD
purE
purF
purH
purK
purL
purM
purT
pykF
pyrE
pyrG
pyrH
ribH
rlmN
rlpB
rplP
rplW
rpmH
rpoZ
rpsA
rsmC
selA
seqA
sodA
speD
speE
sppA
spr
stpA
suhB
tdk
thiH
tktA
tmk
tonB
tpx
trmB
trpA
trpB
trpC
trpD
trpE
truB
tsf
tyrA
ubiD
ubiG
uvrD
valS
ycbL
ycfC
ydiJ
yeaD
yecJ
yedD
yfbQ
yfcZ
yfdH
yfdI
yhbZ
yhgF
yhjH
yicH
yihI
yijP
yjaH
yjdB
yjjK
yleA
yliG
zapA
