gene_name
acs
aer
aldA
aldB
aphA
atpA
atpD
atpF
atpG
cheA
cheR
cheW
cheY
cheZ
cspE
cstA
cycA
cysB
deoD
dppF
emrA
flgE
flgG
flgH
flgK
flgL
flgM
flgN
fliA
fliC
fliD
fliF
fliG
fliH
fliI
fliM
fliN
fliS
fliY
fliZ
fumA
gdhA
glcB
glgC
gltJ
gpsA
groL
groS
hemE
hemY
htpG
ihfB
ivy
lacZ
lamB
livG
maeB
malE
melA
mglA
mglB
mhpR
modA
modC
motA
mtlA
mutS
nagE
nanA
ndk
nmpC
nuoE
ompC
plsB
ppsA
pqqL
proC
prpB
pyrD
rbsC
rbsD
rbsK
rihC
rodZ
rsd
sbp
sdhA
sdhB
sopA
speB
ssb
sthA
sucA
sucB
sucC
sucD
tap
tar
trg
tsr
ucpA
yajC
ybjP
ybjQ
ycgR
ydcW
ydeN
ydiI
yebF
yebR
yecC
yedE
yedF
yfgD
yghU
yghZ
ygiC
yhjE
yjcH
yjcZ
yjgF
yqeF
yuaX
yuaY
